extractions,simulations
-0.0319819442151735,-0.0163696648151908
-0.0413516351701045,-0.0206094509280625
-0.0377293325925428,-0.0188934980635445
-0.038396171904568,-0.0171776918134425
-0.0396278571901277,-0.0210577315298533
-0.0359490375486341,-0.0220190970278857
-0.0369581192591805,-0.0141484446434095
-0.0371415451632347,-0.0195808557639482
-0.0371164479626025,-0.020519167702037
-0.0349624678868331,-0.0252903692400677
-0.0336330477637416,-0.0283395137530361
-0.0354330690206984,-0.0130844862633593
-0.0401952225643666,-0.0266515873107928
-0.0370616077962774,-0.0285281539528275
-0.0389263182747613,-0.0263612987579142
-0.0392448688732324,-0.0253452771917747
-0.0343753827173241,-0.0161541240420175
-0.0416792505229975,-0.0185554370419273
-0.0360402847552483,-0.020266133536963
-0.0363545720814617,-0.0218705690933617
-0.036601896246474,-0.0278149261764991
-0.0374386139082639,-0.0191030243704213
-0.0326830913467508,-0.0203487453214035
-0.0311819134809001,-0.0160033423871953
-0.0340960179849205,-0.0142855335503927
-0.0367668618589275,-0.0138735755486665
-0.0338043316074264,-0.0162182189447627
-0.0421971845758349,-0.022879203740037
-0.0340259835859008,-0.0260763162747025
-0.0356427701260462,-0.0248427264414895
-0.0395016932416851,-0.0222243113532126
-0.0407584816784098,-0.02106064020734
-0.0365882091148975,-0.0208760074049284
-0.034069601174236,-0.0157764602561076
-0.0390653821741509,-0.0201801223579319
-0.0387637154929766,-0.0170789292101695
-0.0404910865684696,-0.0133571041455596
-0.0466739369399517,-0.0207804947055421
-0.038684877648107,-0.0237664622828223
-0.03825045942719,-0.0224418071830735
-0.0324932582670705,-0.0251735741919951
-0.0302811340902803,-0.0185536333460348
-0.0340376582812051,-0.0204151188867671
-0.0381801074297084,-0.0199276512527717
-0.0388350158419085,-0.0193906422651165
-0.0384213694013864,-0.00957112214520307
-0.0368268560024894,-0.0213527821882066
-0.0374183540290346,-0.0224877660330657
-0.0345422347091288,-0.0252782430475284
-0.0326413875028875,-0.0165747247367289
-0.0409599398395166,-0.0139775526614356
-0.0379768687282474,-0.0241423623666687
-0.0394482108323032,-0.0224239300005138
-0.0366891627650552,-0.0246763506329243
-0.0366242844230124,-0.023088242392987
-0.0433141013609403,-0.0215265152348229
-0.0375853259069706,-0.0193685732920099
-0.0372660236398269,-0.0158907593116866
-0.0402530475364985,-0.0290247832955801
-0.0340639438897943,-0.0273388123621057
-0.037932936307671,-0.0258975936804136
-0.0376822868902327,-0.023622858596592
-0.0316897197956375,-0.0135575739559524
-0.0357631514311598,-0.0199470359080791
-0.0358396467358838,-0.0184973328416411
-0.0359091671997453,-0.0185686867845808
-0.0375503681281495,-0.0252433558752769
-0.0377703524220376,-0.0179085992359453
-0.0399163801413207,-0.0178848593882466
-0.0384170248699529,-0.026881954764698
-0.0339518153755747,-0.0222958074093008
-0.0395655179530776,-0.0199438482670793
-0.0348232657520371,-0.0181169314175276
-0.0319498325299005,-0.0134333147734359
-0.0384861313989503,-0.0251302499000355
-0.034310013336036,-0.0221756954408069
-0.0428645965565246,-0.0145535303870597
-0.0364630845400856,-0.0233722209080863
-0.0398385849639611,-0.0287801559036385
-0.0361908339134584,-0.0147597661307784
-0.0351478412497226,-0.0180013802739319
-0.0343688902482655,-0.0266979375913401
-0.0347147518180583,-0.0174378100962824
-0.034967572207474,-0.028053969335015
-0.0344449254066873,-0.0161491688111149
-0.0425934081802993,-0.0226152876484169
-0.0335102127610509,-0.0153922937849226
-0.0374247543655345,-0.0186731929521633
-0.0381788975935408,-0.0171962166936443
-0.0392250729452667,-0.0239213812105555
-0.0403754163922379,-0.0219854111280795
-0.0373510009615691,-0.0152130415180311
-0.0378296288832088,-0.0135116520508983
-0.0362126514601039,-0.0167974710564233
-0.0370106526244999,-0.0192818401847035
-0.0407629943487415,-0.0161228169927796
-0.0377902669136867,-0.0237589117846739
-0.0410638879714248,-0.0203467216218983
-0.0326904435997306,-0.0240754917347917
-0.0380170830008381,-0.0189904256664745
