node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,startGenotype,endGenotype,treeID
815,215,5.847733294403,40.3701060999881,-76.8577351537263,38.8390778283891,-85.4501401634863,11.1812669633922,5.33353366898917,2003.7878667056,2009.6356,756.09069255332,WN02,WN02,20
815,216,0.818733294403,40.3701060999881,-76.8577351537263,40.028247730215,-76.773212547216,6.15226696339217,5.33353366898917,2003.7878667056,2004.6066,38.7296607392201,WN02,WN02,20
824,71,1.724458643259,41.7891162900258,-73.7795126605389,41.7874733200764,-74.1904763348079,5.31006696339166,3.58560832013266,2002.03994135674,2003.7644,34.1122640336106,WN02,WN02,20
824,70,4.557358643259,41.7891162900258,-73.7795126605389,41.6886621947692,-73.7980305365182,8.14296696339166,3.58560832013266,2002.03994135674,2006.5973,11.2882385872573,WN02,WN02,20
828,829,0.551971859806301,41.392151599347,-73.9148407771921,40.0999890042202,-75.2258834194803,4.11162024138732,3.55964838158102,2002.01398141819,2002.565953278,181.430375806434,WN02,WN02,20
829,125,0.0751467220047779,40.0999890042202,-75.2258834194803,40.4270278949683,-75.6336796378548,4.1867669633921,4.11162024138732,2002.565953278,2002.6411,50.2547037170778,WN02,WN02,20
829,830,0.194909843442399,40.0999890042202,-75.2258834194803,42.7593852157295,-77.2737596432967,4.30653008482972,4.11162024138732,2002.565953278,2002.76086312144,341.828091420245,WN02,WN02,20
830,124,1.897636878562,42.7593852157295,-77.2737596432967,42.5873344199316,-76.9491546776137,6.20416696339172,4.30653008482972,2002.76086312144,2004.6585,32.7525905834034,WN02,WN02,20
830,118,1.662636878562,42.7593852157295,-77.2737596432967,42.1502925313261,-75.8150604367757,5.96916696339172,4.30653008482972,2002.76086312144,2004.4235,137.665125971627,WN02,WN02,20
828,831,0.848655869007001,41.392151599347,-73.9148407771921,41.4402330241583,-74.0772909208286,4.40830425058802,3.55964838158102,2002.01398141819,2002.8626372872,14.5801195103072,WN02,WN02,20
831,119,4.718162712804,41.4402330241583,-74.0772909208286,41.524419154179,-74.0110663696109,9.12646696339202,4.40830425058802,2002.8626372872,2007.5808,10.8783029717877,WN02,WN02,20
831,832,2.202749941232,41.4402330241583,-74.0772909208286,42.0634207170825,-74.3936820560909,6.61105419182002,4.40830425058802,2002.8626372872,2005.06538722843,74.1851029211606,WN02,WN02,20
832,120,1.551012771572,42.0634207170825,-74.3936820560909,42.8973616372812,-73.8305929137527,8.16206696339202,6.61105419182002,2005.06538722843,2006.6164,103.710965343421,WN02,WN02,20
832,833,0.9218481034706,42.0634207170825,-74.3936820560909,43.3747512996165,-75.168105054339,7.53290229529062,6.61105419182002,2005.06538722843,2005.9872353319,159.128921059684,WN02,WN02,20
833,122,4.711364668102,43.3747512996165,-75.168105054339,43.9260484668485,-75.0061123907081,12.2442669633926,7.53290229529062,2005.9872353319,2010.6986,62.7442978722258,WN02,WN02,20
833,834,0.215386310131899,43.3747512996165,-75.168105054339,44.6266005950234,-71.5313641824755,7.74828860542252,7.53290229529062,2005.9872353319,2006.20262164203,322.811554810356,WN02,WN02,20
