extractions,simulations
-0.0105953789833519,-0.00614937306612556
-0.0174606644461003,-0.0102448432013775
-0.0181863490528099,-0.0106538843847141
-0.0202059037890285,-0.00663395488963408
-0.0202548872617824,-0.0122088586247858
-0.019439330808148,-0.00437476721145114
-0.00833851620554924,-0.00197377455206869
-0.0131539309722851,-0.0193379840459293
-0.0165889800711551,-0.0115807165706651
-0.0135965117501404,-0.00826805220319042
-0.00902405431668453,-0.00981642031221695
-0.00705146189262666,-0.00380057530911645
-0.0216185774575631,-0.00722659568323992
-0.0194121548970198,-0.00967881800142241
-0.0136047350605587,-0.021693885893478
-0.0118814870367325,-0.0178319175151566
-0.018445376886473,-0.0093823475145371
-0.0149658877099212,-0.0132559785117718
-0.0117648592236797,-0.0107078735882073
-0.0216742914384432,-0.0104051629796104
-0.0135020642828105,-0.01300541370813
-0.0136133152091705,-0.00721877718433028
-0.0137559484253276,-0.0155760454301389
-0.0085145383986218,-0.0190504276331497
-0.0100804956077117,-0.0137969674735652
-0.0229577486454254,-0.0115515832211122
-0.0127673495612236,-0.0172118510360556
-0.0209000862439988,-0.0161077854608496
-0.0099666024803331,-0.0123647872925453
-0.0131682301626394,-0.0156345163465392
-0.0154569194303446,-0.0129560663596585
-0.0251933576416243,-0.0082327661112072
-0.0156293015847391,-0.00479668735452099
-0.010150793608493,-0.00642856482577414
-0.0199109558546982,-0.01248417551366
-0.0151208962019475,-0.0163700075095726
-0.0174419895280153,-0.00223014258711807
-0.0290003780499998,-0.0190093469189165
-0.0114483681855728,-0.0107628155663897
-0.0190652427413771,-0.019022426835916
-0.0133794492436685,-0.0146879902203306
-0.0113048832770204,-0.0101194432356013
-0.0170525794316615,-0.0184577645839385
-0.00867025254138291,-0.0148103844036609
-0.0185098142888772,-0.00411549753417208
-0.0141188980529632,-0.000460445363370871
-0.0194960342534388,-0.00262281252451911
-0.0211985265636702,-0.0202789211654151
-0.0162964812038229,-0.0079819961582468
-0.0156759491689719,-0.0135322095970241
-0.0173625902599329,-0.0054630045277568
-0.0181446142294296,-0.00354296500026657
-0.0197119886548783,-0.0171523611634013
-0.0147529714103592,-0.018178400634788
-0.0221061109609547,-0.0167477719175319
-0.0286381755012255,-0.0241408307456571
-0.0165218608867251,-0.00759378101742058
-0.0193745292246688,-0.0126133209554142
-0.0177689340381604,-0.0209856652532807
-0.0116651850124648,-0.0175844564662686
-0.0166953412549836,-0.00809935646749324
-0.0152451574405724,-0.00938853966576756
-0.018642790924391,-0.00332952283155714
-0.0186004150143968,-0.0055637538511709
-0.0143061071579945,-0.00629946370609105
-0.011739000696279,-0.00952211235903685
-0.020643557263088,-0.0208165496132339
-0.0150481941903313,-0.0145974837212733
-0.0194421175827262,-0.00978547065452637
-0.0125901451205263,-0.0212676879500264
-0.0133499140385538,-0.0118025860409526
-0.0195511670159372,-0.0172092406431204
-0.0126874780876068,-0.00832152669837989
-0.0110323247393124,-0.00489872045539044
-0.0230099138411054,-0.00318393784126416
-0.011435975607198,-0.0103752345545217
-0.0127700010309939,-0.0101831477911522
-0.0121405933951509,-0.0118775830014261
-0.019156234441599,-0.0173805937408767
-0.01260252391381,-0.00302826391701563
-0.0117704482110283,0.00240597463235623
-0.0190880316213595,-0.0107647196019014
-0.014734033398175,-0.0138377077708617
-0.0079252704341964,-0.0202995260754092
-0.0206695709840776,-0.0131198538061946
-0.0230662205768749,-0.0171409630843014
-0.00997613382836183,-0.00818025015154729
-0.0158448103202295,-0.00559382248727769
-0.0198254351571356,-0.0203376991348938
-0.0149987193521198,-0.0136154853652046
-0.0190071768903079,-0.00732413396992265
-0.0122236052354853,-0.0105389949324948
-0.0238219501496088,-0.0137917687071533
-0.0144814313821177,-0.0153424024626792
-0.00783061324278029,-0.0101374809090549
-0.014310810690014,-0.0135860522513223
-0.0168670815120484,-0.017262972741319
-0.0199135905028217,-0.00254953304926554
-0.0156211564064394,-0.0202635796783968
-0.0164997671417866,-0.0105168397982467
