time	distance_tree1	distance_tree2	distance_tree3	distance_tree4	distance_tree5	distance_tree6	distance_tree7	distance_tree8	distance_tree9	distance_tree10	distance_tree11	distance_tree12	distance_tree13	distance_tree14	distance_tree15	distance_tree16	distance_tree17	distance_tree18	distance_tree19	distance_tree20	distance_tree21	distance_tree22	distance_tree23	distance_tree24	distance_tree25	distance_tree26	distance_tree27	distance_tree28	distance_tree29	distance_tree30	distance_tree31	distance_tree32	distance_tree33	distance_tree34	distance_tree35	distance_tree36	distance_tree37	distance_tree38	distance_tree39	distance_tree40	distance_tree41	distance_tree42	distance_tree43	distance_tree44	distance_tree45	distance_tree46	distance_tree47	distance_tree48	distance_tree49	distance_tree50	distance_tree51	distance_tree52	distance_tree53	distance_tree54	distance_tree55	distance_tree56	distance_tree57	distance_tree58	distance_tree59	distance_tree60	distance_tree61	distance_tree62	distance_tree63	distance_tree64	distance_tree65	distance_tree66	distance_tree67	distance_tree68	distance_tree69	distance_tree70	distance_tree71	distance_tree72	distance_tree73	distance_tree74	distance_tree75	distance_tree76	distance_tree77	distance_tree78	distance_tree79	distance_tree80	distance_tree81	distance_tree82	distance_tree83	distance_tree84	distance_tree85	distance_tree86	distance_tree87	distance_tree88	distance_tree89	distance_tree90	distance_tree91	distance_tree92	distance_tree93	distance_tree94	distance_tree95	distance_tree96	distance_tree97	distance_tree98	distance_tree99	distance_tree100
1997.3209814235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997.35642551638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3628958953949	0	0	0	0	0	0	0	0	0	0
1997.39186960926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59128145643392	0	0	0	0	0	0	0	0	0	0
1997.42731370215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8194376971246	0	0	0	0	0	0	0	0	0	0
1997.46275779503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815839546868229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.047364438876	0	0	0	0	0	0	0	0	0	0
1997.49820188791	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70945469191505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63860134383111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2750615028982	0	0	0	0	0	0	0	0	0	0
1997.53364598079	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6024998684898	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25639352522004	0	0	0	0	0	0	0	0	0	0	13.0943303738828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5025287109097	0	0	0	0	0	0	0	0	0	0
1997.56909007368	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4949745557367	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21778024659515	0	0	0	0	0	0	0	0	0	0	24.5440765101897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7297658830518	0	0	0	0	0	0	0	0	0	0
1997.60453416656	0	0	0	0	0	0	0	0	0	0	0	0	0	18.8661598685687	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17912931098046	0	0	0	0	0	0	0	0	0	0	35.987826819712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9567728411904	0	0	0	0	0	0	0	0	0	0
1997.63997825944	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0497992625354	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14044070325281	0	0	0	0	0	0	0	0	0	0	47.4255683565714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1835494057719	0	0	0	0	0	0	0	0	0	0
1997.67542235232	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2334902179886	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10171441217419	0	0	0	0	0	0	0	0	0	0	58.8572881597119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.4100953982678	0	0.300212769629791	0	0	0	0	0	0	0	0
1997.71086644521	0	0	0	0	0	0	0	0	0	0	0	0	0	22.417232742695	0	0	0	0	0	0	0	0	0	0	0	0	0	11.06295042245	0	0	0	0	0	0	0	0	0	0	70.2829732516303	2.70133226643653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.6364106395196	0	1.52854530690551	0	0	0	0	0	0	0	0
1997.74631053809	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6010268248599	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0241487198584	0	0	0	0	0	0	0	0	0	0	81.7026106393918	4.46057235242498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.8624949503591	0	2.75695587353151	0	0	0	0	0	0	0	0
1997.78175463097	0	0	0	0	0	0	0	1.06226866187417	0	0	0	0	0	24.7848724551345	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9853092923518	0	0	0	0	0	0	0	0	0	0	93.116187314466	6.65842141131849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14073520444588	0	0	0	0	0	0	0	0	55.0883481519397	0	3.98544443674637	0	0	0	0	0	0	0	0
