time	velocity
1997.33870346994	57.4765384090118
1997.37414756282	56.1732305080633
1997.40959165571	58.0301736271422
1997.44503574859	58.0902084337017
1997.48047984147	119.319392850577
1997.51592393435	92.3778943140822
1997.55136802724	103.894014469019
1997.58681212012	85.1398941398758
1997.622256213	838.347750330642
1997.65770030588	103.895814196248
1997.69314439877	123.142916428071
1997.72858849165	110.200316524904
1997.76403258453	114.684299916466
1997.79947667741	114.05956023983
1997.8349207703	103.869277203456
1997.87036486318	116.266626543018
1997.90580895606	111.671034859047
1997.94125304894	128.10622359079
1997.97669714183	116.292615745778
1998.01214123471	106.00029895733
1998.04758532759	99.4946437889814
1998.08302942047	95.1981722096739
1998.11847351336	102.69890262903
1998.15391760624	94.6289704210457
1998.18936169912	102.272716849599
1998.224805792	93.5886636859612
1998.26024988489	91.120217877976
1998.29569397777	89.120944258039
1998.33113807065	87.1490657080192
1998.36658216353	86.0950005573591
1998.40202625642	86.613047748508
1998.4374703493	86.2153327727727
1998.47291444218	85.8560361148025
1998.50835853506	85.5482290824622
1998.54380262795	86.1181840437003
1998.57924672083	87.0901268531286
1998.61469081371	86.0149412392631
1998.65013490659	87.3627218947531
1998.68557899948	88.0538154924637
1998.72102309236	89.7062318273058
1998.75646718524	90.8536915423808
1998.79191127812	92.4742828969948
1998.82735537101	96.100962861221
1998.86279946389	101.69438423945
1998.89824355677	101.569914903994
1998.93368764965	104.132464013285
1998.96913174254	110.254430054582
1999.00457583542	113.504136067413
1999.0400199283	116.739600090993
1999.07546402118	122.366448452005
1999.11090811407	124.148110058122
1999.14635220695	135.086715318957
1999.18179629983	156.778003014512
1999.21724039271	146.669465048362
1999.2526844856	135.779345732375
1999.28812857848	144.761273785398
1999.32357267136	151.764488703407
1999.35901676424	159.768645274711
1999.39446085713	163.759152417129
1999.42990495001	166.498840148053
1999.46534904289	169.242001507843
1999.50079313577	169.228909784783
1999.53623722866	170.987258905317
1999.57168132154	173.746667157205
1999.60712541442	176.225401832376
1999.6425695073	176.66852181959
1999.67801360019	180.29702897997
1999.71345769307	183.318649654035
1999.74890178595	183.71283567582
1999.78434587883	186.2378395586
1999.81978997172	188.018365343084
1999.8552340646	188.092626048842
1999.89067815748	190.377921236912
1999.92612225036	194.04152962648
1999.96156634325	194.988815444212
1999.99701043613	195.586810277999
2000.03245452901	187.154686271688
2000.06789862189	181.469737710346
2000.10334271478	184.1246203288
2000.13878680766	189.614316780793
2000.17423090054	192.024633826233
2000.20967499342	199.610759280062
2000.24511908631	204.070806954041
2000.28056317919	219.549285279911
2000.31600727207	240.190301133431
2000.35145136495	251.841707181229
2000.38689545784	265.499444687317
2000.42233955072	281.64459084829
2000.4577836436	295.626645051151
2000.49322773648	306.938977241893
2000.52867182937	321.704350695806
2000.56411592225	332.206722600096
2000.59956001513	343.747483859166
2000.63500410801	354.73753401488
2000.6704482009	359.591296823732
2000.70589229378	361.916188346087
2000.74133638666	362.49929526692
2000.77678047954	363.115825150905
2000.81222457243	363.142641666526
2000.84766866531	363.465570705993
2000.88311275819	362.622342883229
2000.91855685107	361.500176100587
2000.95400094396	361.306016819004
2000.98944503684	360.364140571645
2001.02488912972	360.684073616551
2001.0603332226	360.986848561202
2001.09577731549	360.436224170331
2001.13122140837	356.565502899324
2001.16666550125	363.312001146537
2001.20210959413	353.370596174209
2001.23755368702	353.928150066608
2001.2729977799	341.847586855523
2001.30844187278	337.648601441709
2001.34388596566	327.976314177223
2001.37933005855	322.000831258372
2001.41477415143	318.181415128312
2001.45021824431	312.618570854128
2001.48566233719	307.329473553705
2001.52110643008	320.050012496665
2001.55655052296	318.493963814406
2001.59199461584	319.609557847155
2001.62743870872	325.593064421673
2001.66288280161	327.461728286884
2001.69832689449	330.498457653684
2001.73377098737	334.460813395301
2001.76921508025	337.560622065863
2001.80465917314	342.494433521786
2001.84010326602	346.082212910607
2001.8755473589	351.465754722283
2001.91099145178	355.920089196064
2001.94643554467	361.800705381346
2001.98187963755	368.667471075819
2002.01732373043	374.713777580756
2002.05276782331	379.379282692406
2002.0882119162	387.716112885519
2002.12365600908	310.437474106338
2002.15910010196	295.525922571931
2002.19454419484	245.457705315166
2002.22998828773	207.922582905111
2002.26543238061	190.897162977052
2002.30087647349	185.704586456595
2002.33632056637	178.48063915899
2002.37176465926	175.0860383986
2002.40720875214	168.890931590224
2002.44265284502	160.849085983091
2002.4780969379	151.830828554084
2002.51354103079	200.275834465255
2002.54898512367	200.990360337428
2002.58442921655	201.77387131695
2002.61987330943	202.31963641786
2002.65531740232	202.193706343156
2002.6907614952	202.769716590852
2002.72620558808	202.729987825288
2002.76164968096	202.784629231973
2002.79709377385	202.922904407576
2002.83253786673	203.037214951327
2002.86798195961	203.181313275453
2002.90342605249	202.880607443019
2002.93887014538	202.434137074965
2002.97431423826	202.532169438016
2003.00975833114	202.590321394277
2003.04520242402	202.701053263158
2003.08064651691	202.525692132072
2003.11609060979	200.804040246666
2003.15153470267	162.957041256462
2003.18697879555	158.653107754939
2003.22242288844	153.058815688537
2003.25786698132	125.232899316409
2003.2933110742	114.551029251468
2003.32875516708	107.577378966447
2003.36419925997	99.9502689226018
2003.39964335285	91.4968631982705
2003.43508744573	82.1292510435019
2003.47053153861	71.28683735041
2003.5059756315	60.8690198678469
2003.54141972438	60.9039047390107
2003.57686381726	60.9781117162467
2003.61230791014	61.0572137395724
2003.64775200303	61.0863295678925
2003.68319609591	61.1105946378998
2003.71864018879	61.1650906756712
2003.75408428167	61.2090669927837
2003.78952837456	61.2462896544848
2003.82497246744	61.2764452021801
