startTime,endTime
1991-08,1991.58082191781,1991.66301369863
1991-09,1991.66575342466,1991.74520547945
1991-10,1991.74794520548,1991.8301369863
1991-11,1991.83287671233,1991.91232876712
1991-12,1991.91506849315,1991.99726027397
1992-01,1992,1992.08196721311
1992-02,1992.08469945355,1992.15573770492
1992-03,1992.16393442623,1992.24590163934
1992-04,1992.24863387978,1992.32786885246
1992-05,1992.3306010929,1992.41256830601
1992-06,1992.41530054645,1992.49453551913
1992-07,1992.49726775956,1992.57923497268
1992-08,1992.58196721311,1992.66393442623
1992-09,1992.66666666667,1992.74590163934
1992-10,1992.74863387978,1992.8306010929
1992-11,1992.83333333333,1992.91256830601
1992-12,1992.91530054645,1992.99726775956
1993-01,1993,1993.08219178082
1993-02,1993.08493150685,1993.15616438356
1993-03,1993.16164383562,1993.24383561644
1993-04,1993.24657534247,1993.32602739726
1993-05,1993.32876712329,1993.41095890411
1993-06,1993.41369863014,1993.49315068493
1993-07,1993.49589041096,1993.57808219178
1993-08,1993.58082191781,1993.66301369863
1993-09,1993.66575342466,1993.74520547945
1993-10,1993.74794520548,1993.8301369863
1993-11,1993.83287671233,1993.91232876712
1993-12,1993.91506849315,1993.99726027397
1994-01,1994,1994.08219178082
1994-02,1994.08493150685,1994.15616438356
1994-03,1994.16164383562,1994.24383561644
1994-04,1994.24657534247,1994.32602739726
1994-05,1994.32876712329,1994.41095890411
1994-06,1994.41369863014,1994.49315068493
1994-07,1994.49589041096,1994.57808219178
1994-08,1994.58082191781,1994.66301369863
1994-09,1994.66575342466,1994.74520547945
1994-10,1994.74794520548,1994.8301369863
1994-11,1994.83287671233,1994.91232876712
1994-12,1994.91506849315,1994.99726027397
1995-01,1995,1995.08219178082
1995-02,1995.08493150685,1995.15616438356
1995-03,1995.16164383562,1995.24383561644
1995-04,1995.24657534247,1995.32602739726
1995-05,1995.32876712329,1995.41095890411
1995-06,1995.41369863014,1995.49315068493
1995-07,1995.49589041096,1995.57808219178
1995-08,1995.58082191781,1995.66301369863
1995-09,1995.66575342466,1995.74520547945
1995-10,1995.74794520548,1995.8301369863
1995-11,1995.83287671233,1995.91232876712
1995-12,1995.91506849315,1995.99726027397
1996-01,1996,1996.08196721311
1996-02,1996.08469945355,1996.15573770492
1996-03,1996.16393442623,1996.24590163934
1996-04,1996.24863387978,1996.32786885246
1996-05,1996.3306010929,1996.41256830601
1996-06,1996.41530054645,1996.49453551913
1996-07,1996.49726775956,1996.57923497268
1996-08,1996.58196721311,1996.66393442623
1996-09,1996.66666666667,1996.74590163934
1996-10,1996.74863387978,1996.8306010929
1996-11,1996.83333333333,1996.91256830601
1996-12,1996.91530054645,1996.99726775956
1997-01,1997,1997.08219178082
1997-02,1997.08493150685,1997.15616438356
1997-03,1997.16164383562,1997.24383561644
1997-04,1997.24657534247,1997.32602739726
1997-05,1997.32876712329,1997.41095890411
1997-06,1997.41369863014,1997.49315068493
1997-07,1997.49589041096,1997.57808219178
1997-08,1997.58082191781,1997.66301369863
1997-09,1997.66575342466,1997.74520547945
1997-10,1997.74794520548,1997.8301369863
1997-11,1997.83287671233,1997.91232876712
1997-12,1997.91506849315,1997.99726027397
1998-01,1998,1998.08219178082
1998-02,1998.08493150685,1998.15616438356
1998-03,1998.16164383562,1998.24383561644
1998-04,1998.24657534247,1998.32602739726
1998-05,1998.32876712329,1998.41095890411
1998-06,1998.41369863014,1998.49315068493
1998-07,1998.49589041096,1998.57808219178
1998-08,1998.58082191781,1998.66301369863
1998-09,1998.66575342466,1998.74520547945
1998-10,1998.74794520548,1998.8301369863
1998-11,1998.83287671233,1998.91232876712
1998-12,1998.91506849315,1998.99726027397
1999-01,1999,1999.08219178082
1999-02,1999.08493150685,1999.15616438356
1999-03,1999.16164383562,1999.24383561644
1999-04,1999.24657534247,1999.32602739726
1999-05,1999.32876712329,1999.41095890411
1999-06,1999.41369863014,1999.49315068493
1999-07,1999.49589041096,1999.57808219178
1999-08,1999.58082191781,1999.66301369863
1999-09,1999.66575342466,1999.74520547945
1999-10,1999.74794520548,1999.8301369863
1999-11,1999.83287671233,1999.91232876712
1999-12,1999.91506849315,1999.99726027397
2000-01,2000,2000.08196721311
2000-02,2000.08469945355,2000.15573770492
2000-03,2000.16393442623,2000.24590163934
2000-04,2000.24863387978,2000.32786885246
2000-05,2000.3306010929,2000.41256830601
2000-06,2000.41530054645,2000.49453551913
2000-07,2000.49726775956,2000.57923497268
2000-08,2000.58196721311,2000.66393442623
2000-09,2000.66666666667,2000.74590163934
2000-10,2000.74863387978,2000.8306010929
2000-11,2000.83333333333,2000.91256830601
2000-12,2000.91530054645,2000.99726775956
2001-01,2001,2001.08219178082
2001-02,2001.08493150685,2001.15616438356
2001-03,2001.16164383562,2001.24383561644
2001-04,2001.24657534247,2001.32602739726
2001-05,2001.32876712329,2001.41095890411
2001-06,2001.41369863014,2001.49315068493
2001-07,2001.49589041096,2001.57808219178
2001-08,2001.58082191781,2001.66301369863
2001-09,2001.66575342466,2001.74520547945
2001-10,2001.74794520548,2001.8301369863
2001-11,2001.83287671233,2001.91232876712
2001-12,2001.91506849315,2001.99726027397
2002-01,2002,2002.08219178082
2002-02,2002.08493150685,2002.15616438356
2002-03,2002.16164383562,2002.24383561644
2002-04,2002.24657534247,2002.32602739726
2002-05,2002.32876712329,2002.41095890411
2002-06,2002.41369863014,2002.49315068493
2002-07,2002.49589041096,2002.57808219178
2002-08,2002.58082191781,2002.66301369863
2002-09,2002.66575342466,2002.74520547945
2002-10,2002.74794520548,2002.8301369863
2002-11,2002.83287671233,2002.91232876712
2002-12,2002.91506849315,2002.99726027397
2003-01,2003,2003.08219178082
2003-02,2003.08493150685,2003.15616438356
2003-03,2003.16164383562,2003.24383561644
2003-04,2003.24657534247,2003.32602739726
2003-05,2003.32876712329,2003.41095890411
2003-06,2003.41369863014,2003.49315068493
2003-07,2003.49589041096,2003.57808219178
2003-08,2003.58082191781,2003.66301369863
2003-09,2003.66575342466,2003.74520547945
2003-10,2003.74794520548,2003.8301369863
2003-11,2003.83287671233,2003.91232876712
2003-12,2003.91506849315,2003.99726027397
2004-01,2004,2004.08196721311
2004-02,2004.08469945355,2004.15573770492
2004-03,2004.16393442623,2004.24590163934
2004-04,2004.24863387978,2004.32786885246
2004-05,2004.3306010929,2004.41256830601
2004-06,2004.41530054645,2004.49453551913
2004-07,2004.49726775956,2004.57923497268
2004-08,2004.58196721311,2004.66393442623
2004-09,2004.66666666667,2004.74590163934
2004-10,2004.74863387978,2004.8306010929
2004-11,2004.83333333333,2004.91256830601
2004-12,2004.91530054645,2004.99726775956
2005-01,2005,2005.08219178082
2005-02,2005.08493150685,2005.15616438356
2005-03,2005.16164383562,2005.24383561644
2005-04,2005.24657534247,2005.32602739726
2005-05,2005.32876712329,2005.41095890411
2005-06,2005.41369863014,2005.49315068493
2005-07,2005.49589041096,2005.57808219178
2005-08,2005.58082191781,2005.66301369863
2005-09,2005.66575342466,2005.74520547945
2005-10,2005.74794520548,2005.8301369863
2005-11,2005.83287671233,2005.91232876712
2005-12,2005.91506849315,2005.99726027397
2006-01,2006,2006.08219178082
2006-02,2006.08493150685,2006.15616438356
2006-03,2006.16164383562,2006.24383561644
2006-04,2006.24657534247,2006.32602739726
2006-05,2006.32876712329,2006.41095890411
2006-06,2006.41369863014,2006.49315068493
2006-07,2006.49589041096,2006.57808219178
2006-08,2006.58082191781,2006.66301369863
2006-09,2006.66575342466,2006.74520547945
2006-10,2006.74794520548,2006.8301369863
2006-11,2006.83287671233,2006.91232876712
2006-12,2006.91506849315,2006.99726027397
2007-01,2007,2007.08219178082
2007-02,2007.08493150685,2007.15616438356
2007-03,2007.16164383562,2007.24383561644
2007-04,2007.24657534247,2007.32602739726
2007-05,2007.32876712329,2007.41095890411
2007-06,2007.41369863014,2007.49315068493
2007-07,2007.49589041096,2007.57808219178
2007-08,2007.58082191781,2007.66301369863
2007-09,2007.66575342466,2007.74520547945
2007-10,2007.74794520548,2007.8301369863
2007-11,2007.83287671233,2007.91232876712
2007-12,2007.91506849315,2007.99726027397
2008-01,2008,2008.08196721311
2008-02,2008.08469945355,2008.15573770492
2008-03,2008.16393442623,2008.24590163934
2008-04,2008.24863387978,2008.32786885246
2008-05,2008.3306010929,2008.41256830601
2008-06,2008.41530054645,2008.49453551913
2008-07,2008.49726775956,2008.57923497268
2008-08,2008.58196721311,2008.66393442623
2008-09,2008.66666666667,2008.74590163934
2008-10,2008.74863387978,2008.8306010929
2008-11,2008.83333333333,2008.91256830601
2008-12,2008.91530054645,2008.99726775956
2009-01,2009,2009.08219178082
2009-02,2009.08493150685,2009.15616438356
2009-03,2009.16164383562,2009.24383561644
2009-04,2009.24657534247,2009.32602739726
2009-05,2009.32876712329,2009.41095890411
2009-06,2009.41369863014,2009.49315068493
2009-07,2009.49589041096,2009.57808219178
2009-08,2009.58082191781,2009.66301369863
2009-09,2009.66575342466,2009.74520547945
2009-10,2009.74794520548,2009.8301369863
2009-11,2009.83287671233,2009.91232876712
2009-12,2009.91506849315,2009.99726027397
2010-01,2010,2010.08219178082
2010-02,2010.08493150685,2010.15616438356
2010-03,2010.16164383562,2010.24383561644
2010-04,2010.24657534247,2010.32602739726
2010-05,2010.32876712329,2010.41095890411
2010-06,2010.41369863014,2010.49315068493
2010-07,2010.49589041096,2010.57808219178
2010-08,2010.58082191781,2010.66301369863
2010-09,2010.66575342466,2010.74520547945
2010-10,2010.74794520548,2010.8301369863
2010-11,2010.83287671233,2010.91232876712
2010-12,2010.91506849315,2010.99726027397
2011-01,2011,2011.08219178082
2011-02,2011.08493150685,2011.15616438356
2011-03,2011.16164383562,2011.24383561644
2011-04,2011.24657534247,2011.32602739726
2011-05,2011.32876712329,2011.41095890411
2011-06,2011.41369863014,2011.49315068493
2011-07,2011.49589041096,2011.57808219178
2011-08,2011.58082191781,2011.66301369863
2011-09,2011.66575342466,2011.74520547945
2011-10,2011.74794520548,2011.8301369863
2011-11,2011.83287671233,2011.91232876712
2011-12,2011.91506849315,2011.99726027397
2012-01,2012,2012.08196721311
2012-02,2012.08469945355,2012.15573770492
2012-03,2012.16393442623,2012.24590163934
2012-04,2012.24863387978,2012.32786885246
2012-05,2012.3306010929,2012.41256830601
2012-06,2012.41530054645,2012.49453551913
2012-07,2012.49726775956,2012.57923497268
2012-08,2012.58196721311,2012.66393442623
2012-09,2012.66666666667,2012.74590163934
2012-10,2012.74863387978,2012.8306010929
2012-11,2012.83333333333,2012.91256830601
2012-12,2012.91530054645,2012.99726775956
2013-01,2013,2013.08219178082
2013-02,2013.08493150685,2013.15616438356
2013-03,2013.16164383562,2013.24383561644
2013-04,2013.24657534247,2013.32602739726
2013-05,2013.32876712329,2013.41095890411
2013-06,2013.41369863014,2013.49315068493
2013-07,2013.49589041096,2013.57808219178
2013-08,2013.58082191781,2013.66301369863
2013-09,2013.66575342466,2013.74520547945
2013-10,2013.74794520548,2013.8301369863
2013-11,2013.83287671233,2013.91232876712
2013-12,2013.91506849315,2013.99726027397
2014-01,2014,2014.08219178082
2014-02,2014.08493150685,2014.15616438356
2014-03,2014.16164383562,2014.24383561644
2014-04,2014.24657534247,2014.32602739726
2014-05,2014.32876712329,2014.41095890411
2014-06,2014.41369863014,2014.49315068493
2014-07,2014.49589041096,2014.57808219178
