startTime,endTime
2014-08,2014.58082191781,2014.66301369863
2014-09,2014.66575342466,2014.74520547945
2014-10,2014.74794520548,2014.8301369863
2014-11,2014.83287671233,2014.91232876712
2014-12,2014.91506849315,2014.99726027397
2015-01,2015,2015.08219178082
2015-02,2015.08493150685,2015.15616438356
2015-03,2015.16164383562,2015.24383561644
2015-04,2015.24657534247,2015.32602739726
2015-05,2015.32876712329,2015.41095890411
2015-06,2015.41369863014,2015.49315068493
2015-07,2015.49589041096,2015.57808219178
2015-08,2015.58082191781,2015.66301369863
2015-09,2015.66575342466,2015.74520547945
2015-10,2015.74794520548,2015.8301369863
2015-11,2015.83287671233,2015.91232876712
2015-12,2015.91506849315,2015.99726027397
2016-01,2016,2016.08196721311
2016-02,2016.08469945355,2016.15573770492
2016-03,2016.16393442623,2016.24590163934
2016-04,2016.24863387978,2016.32786885246
2016-05,2016.3306010929,2016.41256830601
2016-06,2016.41530054645,2016.49453551913
2016-07,2016.49726775956,2016.57923497268
2016-08,2016.58196721311,2016.66393442623
