state	posterior	prior	likelihood	halfDF	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	treeLengthPrecision1	treeLengthPrecision2	treeLengthPrecision3	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
1	-2877.98054256621	-73.2382703622795	-2804.74227220393	0.284549179383305	0.0470867222157203	0.00749769408781125	0.00749769408781125	0.0143818164487835	101.956726652362	31.1409004371835	16.2347326520593	-0.288118812584554	23.1599758007085	-12.0740251590064	-12.0740251590064	75.8268158222121	165.789282708314	-2804.74227220393
2	-3407.1073756725	-537.590847192224	-2869.51652848028	0.315379918786702	0.0262623083898727	0.00386977844408194	0.00386977844408194	0.0072246527251331	56.7274246516541	15.6054805623026	8.35884499741485	-0.280938438747559	41.340218864312	-22.1432771817827	-22.1432771817827	150.275676634601	166.568575273434	-2869.51652848028
3	-2875.38433047816	-57.7593264560627	-2817.6250040221	0.286919433449685	0.0471210184490806	0.00904339837786362	0.00904339837786362	0.0147520974986058	104.55942883923	32.7342434311274	20.0668958413289	-0.343002623212103	24.0516477653923	-14.7442512772881	-14.7442512772881	76.8255590902211	161.087328419304	-2817.6250040221
4	-2913.37910479037	-90.9596954242961	-2822.41940936608	0.301033075533545	0.0402793212207081	0.00576272711154796	0.00576272711154796	0.0130336807758606	88.5685223687996	28.659217989779	12.6714207095929	-0.251508949257626	26.5031372176305	-11.7181285940333	-11.7181285940333	81.9053647011661	161.411124157826	-2822.41940936608
5	-3011.07674327256	-189.521419574569	-2821.55532369799	0.303499804205478	0.0331317543223772	0.0059291485563269	0.0059291485563269	0.012227331342314	71.6288481520578	26.4347505266865	12.8184604256012	-0.29458069002636	33.0505810542024	-16.0265391897201	-16.0265391897201	89.5554149179058	166.015494154442	-2821.55532369799
6	-3056.6380543658	-230.976024252077	-2825.66203011372	0.299891922177868	0.0358176688525093	0.00349116963593038	0.00349116963593038	0.0106085442937915	78.0163457802609	23.1070275192314	7.60429995083867	-0.179099509404793	28.8444132619104	-9.49241827694899	-9.49241827694899	97.3875033037913	162.647313801505	-2825.66203011372
7	-2943.09647193666	-169.004198824952	-2774.09227311171	0.313062098767741	0.0458598450465623	0.00604753291923447	0.00604753291923447	0.013872636200889	100.968263582491	30.5429725524195	13.314674247004	-0.239763158379944	23.1355473460345	-10.0855368910117	-10.0855368910117	76.480965909605	162.219637624196	-2774.09227311171
8	-3030.40552681009	-225.058338579333	-2805.34718823076	0.300001768935466	0.0411866489562362	0.00594104259980813	0.00594104259980813	0.0124664206645411	88.1862706913728	26.6923183880266	12.7205879617047	-0.262188445469152	26.0719725037976	-12.4249536795003	-12.4249536795003	86.1367675619092	167.935321167654	-2805.34718823076
9	-2827.78181065913	44.5451569278878	-2872.32696758702	0.278384740126112	0.0447274856363672	0.0077524729912788	0.0077524729912788	0.0154119959070142	96.1364952078904	33.1262812916536	16.6630332998058	-0.29527289147216	24.4930721061714	-12.3203951728355	-12.3203951728355	71.0818726807933	166.984579488649	-2872.32696758702
10	-2953.09693352968	-76.6028377307889	-2876.49409579889	0.277584127694395	0.0386208584829415	0.00564440419542668	0.00564440419542668	0.0118824819918915	83.7283232466985	25.760698551784	12.2368201426296	-0.26348358383793	27.8244149811837	-13.2171245672627	-13.2171245672627	90.4358865506578	166.327708289943	-2876.49409579889
