node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,startGenotype,endGenotype,treeID
802,803,0.0249037389404805,40.943758700069,-73.755824830179,40.9518740707211,-73.7753301654489,0.0249037389404805,0,1997.9952799718,1998.02018371074,1.87244684650023,NY99,NY99,9
803,804,0.00191074013437387,40.9518740707211,-73.7753301654489,41.3510091293626,-73.3670380456539,0.0268144790748543,0.0249037389404805,1998.02018371074,1998.02209445088,56.0858401841744,NY99,NY99,9
804,805,0.0169415478040804,41.3510091293626,-73.3670380456539,41.2827402907716,-73.2469343991671,0.0437560268789348,0.0268144790748543,1998.02209445088,1998.03903599868,12.5937712219471,NY99,NY99,9
805,806,0.0679691755139302,41.2827402907716,-73.2469343991671,41.2658411294089,-73.2588210816909,0.111725202392865,0.0437560268789348,1998.03903599868,1998.1070051742,2.12797583819135,NY99,NY99,9
805,807,0.0055288840128469,41.2827402907716,-73.2469343991671,41.289223829496,-73.2602957612176,0.0492849108917817,0.0437560268789348,1998.03903599868,1998.0445648827,1.33049150736787,NY99,NY99,9
807,808,1.514426953301,41.289223829496,-73.2602957612176,41.5560387435741,-73.0644651414899,1.56371186419278,0.0492849108917817,1998.0445648827,1999.558991836,33.9041210121545,NY99,NY99,9
808,809,0.837398209287901,41.5560387435741,-73.0644651414899,41.5038049254706,-72.9963121529958,2.40111007348068,1.56371186419278,1999.558991836,2000.39639004528,8.12847953014986,NY99,NY99,9
809,810,0.250551688048301,41.5038049254706,-72.9963121529958,41.4954924077675,-73.0640571527573,2.65166176152898,2.40111007348068,2000.39639004528,2000.64694173333,5.72368294371031,NY99,NY99,9
809,811,0.641844857560601,41.5038049254706,-72.9963121529958,41.2005416454906,-74.8086844224685,3.04295493104128,2.40111007348068,2000.39639004528,2001.03823490284,155.167829240219,NY99,NY99,9
808,812,1.533415315105,41.5560387435741,-73.0644651414899,41.507069765905,-73.0025600666754,3.09712717929778,1.56371186419278,1999.558991836,2001.0924071511,7.50549195263943,NY99,NY99,9
812,813,0.104621126475601,41.507069765905,-73.0025600666754,41.6457601683435,-73.1540218613727,3.20174830577338,3.09712717929778,2001.0924071511,2001.19702827758,19.9368748979481,NY99,NY99,9
807,814,0.105737710672599,41.289223829496,-73.2602957612176,41.2631773582568,-73.2497064469962,0.155022621564381,0.0492849108917817,1998.0445648827,1998.15030259337,3.03192110601111,NY99,NY99,9
814,815,1.685209339945,41.2631773582568,-73.2497064469962,42.6766598068717,-73.9702310919304,1.84023196150938,0.155022621564381,1998.15030259337,1999.83551193331,168.27453936901,NY99,NY99,9
815,816,0.158887917493701,42.6766598068717,-73.9702310919304,42.780727330819,-73.9841206497011,1.99911987900308,1.84023196150938,1999.83551193331,1999.99439985081,11.6407455394041,NY99,NY99,9
816,817,1.03740699423,42.780727330819,-73.9841206497011,42.7083053078389,-73.9446510141318,3.03652687323308,1.99911987900308,1999.99439985081,2001.03180684504,8.684073707547,NY99,NY99,9
817,818,0.07408209716756,42.7083053078389,-73.9446510141318,42.5874340982098,-73.7841968737188,3.11060897040064,3.03652687323308,2001.03180684504,2001.1058889422,18.8062634550932,NY99,NY99,9
804,819,0.033159287372321,41.3510091293626,-73.3670380456539,41.3646073413746,-73.3797971817475,0.0599737664471753,0.0268144790748543,1998.02209445088,1998.05525373825,1.85156035796469,NY99,NY99,9
819,820,1.040296115138,41.3646073413746,-73.3797971817475,41.3402922320323,-73.3731081647795,1.10026988158517,0.0599737664471753,1998.05525373825,1999.09554985339,2.76396512514662,NY99,NY99,9
820,821,0.299626770139,41.3402922320323,-73.3731081647795,43.996807198558,-80.5942252964454,1.39989665172417,1.10026988158517,1999.09554985339,1999.39517662353,660.609006443985,NY99,NY99,9
821,822,0.416769579388202,43.996807198558,-80.5942252964454,34.7151929278992,-77.6248417553717,1.81666623111238,1.39989665172417,1999.39517662353,1999.81194620292,1064.20385957026,NY99,NY99,9
822,823,1.194814044757,34.7151929278992,-77.6248417553717,35.8744583500877,-77.5178615919788,3.01148027586937,1.81666623111238,1999.81194620292,2001.00676024767,129.419436120869,NY99,NY99,9
823,824,0.0372238178503501,35.8744583500877,-77.5178615919788,35.8755082088254,-77.3854000215648,3.04870409371972,3.01148027586937,2001.00676024767,2001.04398406552,11.9493281595338,NY99,NY99,9
824,825,0.130846631855601,35.8755082088254,-77.3854000215648,35.8916180348177,-77.4626233142653,3.17955072557533,3.04870409371972,2001.04398406552,2001.17483069738,7.19238758810271,NY99,NY99,9
825,826,0.506974816517399,35.8916180348177,-77.4626233142653,33.9495738994878,-83.6785140157536,3.68652554209272,3.17955072557533,2001.17483069738,2001.6818055139,607.030232981252,NY99,NY99,9
822,827,0.196307215773299,34.7151929278992,-77.6248417553717,34.6809387754667,-77.676645790437,2.01297344688567,1.81666623111238,1999.81194620292,2000.00825341869,6.08461285839689,NY99,NY99,9
827,828,0.129949384869402,34.6809387754667,-77.676645790437,34.6833198302965,-77.6798716125268,2.14292283175508,2.01297344688567,2000.00825341869,2000.13820280356,0.396819923400739,NY99,NY99,9
828,829,0.639521561388898,34.6833198302965,-77.6798716125268,34.6280244765077,-77.8832993517506,2.78244439314397,2.14292283175508,2000.13820280356,2000.77772436495,19.619248900621,NY99,NY99,9
