Elevation,Land_cover_forests,Land_cover_shrublands,Land_cover_savannas,Land_cover_grasslands,Land_cover_croplands,Land_cover_urban_areas,Temperature_interpolated_rasters,Precipitation_interpolated_rasters
6.98000001907349,6,0,0,1,0,62,1.18060398101807,511.346435546875
20.0499992370605,5,0,3,13,0,57,1.17222225666046,511.286987304688
56.5200004577637,0,0,0,0,1,99,0.421284854412079,535.447631835938
20.0499992370605,5,0,3,13,0,57,1.1494437456131,511.863586425781
6.98000001907349,6,0,0,1,0,62,1.18067800998688,512.07958984375
6.98000001907349,6,0,0,1,0,62,NA,NA
20.0499992370605,5,0,3,13,0,57,NA,NA
14.1000003814697,6,1,0,4,0,87,0.843202173709869,510.159332275391
54.8199996948242,8,0,0,20,0,71,0.628351092338562,521.524963378906
43.5400009155273,32,0,0,2,0,52,0.15337598323822,576.035522460938
NA,NA,NA,NA,NA,NA,NA,0.843746662139893,521.625549316406
49.4700012207031,14,0,0,3,0,83,9.01452827453613,740.557067871094
NA,NA,NA,NA,NA,NA,NA,NA,NA
16.6900005340576,4,0,0,2,2,55,7.08645677566528,967.478088378906
16.6900005340576,4,0,0,2,2,55,NA,NA
31.6299991607666,25,0,0,7,3,39,12.794774055481,124.952186584473
48,17,0,0,0,0,83,-0.144810274243355,859.196655273438
16.6900005340576,4,0,0,2,2,55,21.8518600463867,1110.22644042969
16.6900005340576,4,0,0,2,2,55,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,0,0,2,0,97,18.4316654205322,1158.8173828125
34,1,0,0,2,0,97,18.404655456543,1157.80212402344
17.3899993896484,3,0,0,4,1,90,12.7734365463257,187.048324584961
34,1,0,0,2,0,97,18.3306941986084,1156.873046875
41.1100006103516,4,0,0,21,0,73,12.5983762741089,160.537704467773
41.1100006103516,4,0,0,21,0,73,-1.17402696609497,877.706359863281
18.6299991607666,0,0,0,0,0,100,-0.167962267994881,906.847473144531
49.4700012207031,14,0,0,3,0,83,0.450480371713638,816.270568847656
116.940002441406,100,0,0,0,0,0,18.9418106079102,1501.09191894531
6.98000001907349,6,0,0,1,0,62,NA,NA
6.98000001907349,6,0,0,1,0,62,NA,NA
20.4599990844727,0,0,0,0,0,100,3.86863660812378,187.387222290039
6.98000001907349,6,0,0,1,0,62,NA,NA
6.98000001907349,6,0,0,1,0,62,3.59279370307922,1809.26977539062
80.0100021362305,30,0,0,0,70,0,1.08230018615723,941.655029296875
80.0100021362305,30,0,0,0,70,0,1.24234104156494,924.509094238281
80.9499969482422,58,0,0,0,39,3,3.2368221282959,1523.02185058594
80.0100021362305,30,0,0,0,70,0,1.23482286930084,925.516418457031
80.9499969482422,58,0,0,0,39,3,9.3549633026123,231.175308227539
122.269996643066,96,0,0,0,4,0,0.0649874284863472,579.727478027344
43.5400009155273,32,0,0,2,0,52,-0.616685688495636,1951.04663085938
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
6.98000001907349,6,0,0,1,0,62,1.18060398101807,511.346435546875
6.98000001907349,6,0,0,1,0,62,NA,NA
34,1,0,0,2,0,97,0.846322238445282,517.137023925781
21.8199996948242,0,0,0,0,0,100,1.44229304790497,493.642852783203
9.69999980926514,1,0,0,9,0,53,1.20783686637878,512.57861328125
18.3500003814697,5,0,0,0,48,7,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
43.5400009155273,32,0,0,2,0,52,NA,NA
43.5400009155273,32,0,0,2,0,52,NA,NA
87.9499969482422,22,0,0,0,23,55,8.85839080810547,758.221435546875
7.03000020980835,36,0,0,4,9,4,NA,NA
148.220001220703,1,0,0,0,0,99,0.816630065441132,854.727661132812
14.4300003051758,43,0,0,8,4,13,14.5536422729492,36.7617683410645
31.9200000762939,0,0,0,0,2,98,0.451951712369919,781.616088867188
320.700012207031,26,0,0,0,66,8,-2.88375353813171,479.959655761719
148.220001220703,1,0,0,0,0,99,15.6510772705078,1040.78308105469
148.220001220703,1,0,0,0,0,99,-2.64374661445618,1092.80444335938
74.9199981689453,47,0,0,25,0,26,-3.00682163238525,1093.93713378906
NA,NA,NA,NA,NA,NA,NA,NA,NA
138.190002441406,95,0,0,0,0,5,-3.62840533256531,1139.46032714844
153.889999389648,83,0,0,0,1,16,17.6827049255371,1158.2578125
153.889999389648,83,0,0,0,1,16,5.76757144927979,979.422241210938
NA,NA,NA,NA,NA,NA,NA,NA,NA
25.1000003814697,64,0,0,7,1,8,-2.02658319473267,875.07421875
25.1000003814697,64,0,0,7,1,8,-1.95722365379333,877.331176757812
20.3099994659424,55,0,1,4,2,9,-0.134649083018303,778.20068359375
25.1000003814697,64,0,0,7,1,8,-1.97289931774139,876.961669921875
NA,NA,NA,NA,NA,NA,NA,NA,NA
22.6000003814697,57,0,0,10,2,0,NA,NA
21.8299999237061,0,0,0,0,0,100,2.66081309318542,1011.43103027344
21.8299999237061,0,0,0,0,0,100,14.1095571517944,470.383209228516
21.8299999237061,0,0,0,0,0,100,3.19134259223938,1162.197265625
