accession,hostType
AY795965,Mammal
KJ501251,ResidentBird
KJ501267,MigratoryBird
KJ501341,ResidentBird
KJ501342,ResidentBird
KJ501329,MigratoryBird
KJ501440,MigratoryBird
KJ501307,MigratoryBird
KJ501242,MigratoryBird
KJ501442,ResidentBird
KJ501308,MigratoryBird
KJ501238,MigratoryBird
KJ501386,MigratoryBird
KJ501500,ResidentBird
KJ501260,MigratoryBird
KJ501518,MigratoryBird
KJ501250,MigratoryBird
KJ501461,MigratoryBird
KJ501239,MigratoryBird
KJ501240,MigratoryBird
KJ501255,MigratoryBird
KJ501236,MigratoryBird
KJ501441,MigratoryBird
KJ501293,MigratoryBird
KJ501276,ResidentBird
KJ501374,MigratoryBird
KJ501493,ResidentBird
KJ501465,ResidentBird
KJ501515,MigratoryBird
KJ501277,ResidentBird
KJ501269,MigratoryBird
KJ501486,MigratoryBird
KJ501378,ResidentBird
KJ501288,ResidentBird
KJ501289,ResidentBird
KJ501362,ResidentBird
KJ501516,ResidentBird
KJ501480,ResidentBird
KJ501379,ResidentBird
KJ501233,ResidentBird
KJ501468,ResidentBird
KJ501473,ResidentBird
KJ501264,ResidentBird
KJ501455,ResidentBird
DQ080071,Mammal
KJ501268,ResidentBird
KJ501363,ResidentBird
KJ501395,ResidentBird
KJ501275,ResidentBird
KJ501512,ResidentBird
KJ501235,ResidentBird
KJ501234,ResidentBird
KJ501282,ResidentBird
KJ501443,ResidentBird
KJ501259,MigratoryBird
KJ501241,MigratoryBird
KJ501257,ResidentBird
KJ501253,MigratoryBird
KJ501324,MigratoryBird
KJ501485,MigratoryBird
KJ501385,MigratoryBird
DQ080069,Mammal
DQ080070,ResidentBird
DQ080063,ResidentBird
DQ080064,ResidentBird
DQ080065,ResidentBird
DQ080067,MigratoryBird
DQ080068,ResidentBird
DQ080066,ResidentBird
KJ501471,ResidentBird
KJ501335,MigratoryBird
KJ501323,MigratoryBird
KJ501349,MigratoryBird
KJ501297,MigratoryBird
KJ501462,MigratoryBird
KJ501348,MigratoryBird
KJ501330,MigratoryBird
KJ501254,MigratoryBird
KJ501381,MigratoryBird
KJ501459,ResidentBird
KJ501470,MigratoryBird
KJ501474,ResidentBird
KJ501507,MigratoryBird
KJ501326,MigratoryBird
KJ501354,ResidentBird
KJ501382,MigratoryBird
KJ501327,ResidentBird
KJ501372,MigratoryBird
KJ501350,MigratoryBird
KJ501504,MigratoryBird
KJ501467,ResidentBird
KJ501506,ResidentBird
KJ501488,MigratoryBird
KJ501331,MigratoryBird
KJ501256,MigratoryBird
KJ501499,MigratoryBird
KJ501346,MigratoryBird
KJ501376,ResidentBird
KJ501322,MigratoryBird
KJ501479,ResidentBird
KJ501237,MigratoryBird
KJ501306,MigratoryBird
KJ501469,MigratoryBird
KJ501336,ResidentBird
KJ501453,ResidentBird
KJ501466,ResidentBird
KJ501286,ResidentBird
KJ501397,ResidentBird
KJ501361,ResidentBird
KJ501274,ResidentBird
KJ501496,ResidentBird
KJ501377,ResidentBird
KJ501454,ResidentBird
KJ501509,MigratoryBird
KJ501283,ResidentBird
KJ501249,ResidentBird
DQ080060,ResidentBird
DQ983578,Mosquito
MG004537,Mosquito
MG004536,Mosquito
MG004533,Mosquito
MG004528,Mosquito
KX547620,ResidentBird
KX547619,Mosquito
KX547618,ResidentBird
KX547617,Mosquito
KX547616,ResidentBird
KX547615,ResidentBird
KX547614,Mosquito
KX547613,Mosquito
KX547611,ResidentBird
KX547610,Mosquito
KX547608,Mosquito
KX547606,Mosquito
KX547605,ResidentBird
KX547604,Mosquito
KX547603,ResidentBird
KX547602,Mosquito
KX547601,Mosquito
KX547600,ResidentBird
KX547599,Mosquito
KX547598,ResidentBird
KX547597,ResidentBird
KX547596,ResidentBird
KX547595,ResidentBird
KX547594,Mosquito
KX547593,ResidentBird
KX547592,Mosquito
KX547591,ResidentBird
KX547590,ResidentBird
KX547589,ResidentBird
KX547588,MigratoryBird
KX547587,MigratoryBird
KX547586,Mosquito
KX547585,ResidentBird
KX547584,ResidentBird
KX547583,ResidentBird
KX547582,Mosquito
KX547581,Mosquito
KX547580,ResidentBird
KX547579,Mosquito
KX547578,ResidentBird
KX547577,ResidentBird
KX547576,Mosquito
KX547574,Mosquito
KX547573,Mosquito
KX547572,Mosquito
KX547571,ResidentBird
KX547570,ResidentBird
KX547569,ResidentBird
KX547568,ResidentBird
KX547567,ResidentBird
KX547566,Mosquito
KX547565,Mosquito
KX547563,Mosquito
KX547562,Mosquito
KX547561,ResidentBird
KX547560,ResidentBird
KX547559,Mosquito
KX547558,Mosquito
KX547556,Mosquito
KX547555,Mosquito
KX547554,MigratoryBird
KX547553,ResidentBird
KX547552,ResidentBird
KX547551,Mosquito
KX547550,Mosquito
KX547548,Mosquito
KX547547,Mosquito
KX547546,ResidentBird
KX547545,ResidentBird
KX547544,MigratoryBird
KX547543,Mosquito
KX547542,ResidentBird
KX547541,Mosquito
KX547540,Mosquito
KX547539,ResidentBird
KX547538,Mosquito
KX547537,Mosquito
KX547536,ResidentBird
KX547535,ResidentBird
KX547534,ResidentBird
KX547534,ResidentBird
KX547533,ResidentBird
KX547532,ResidentBird
KX547531,Mosquito
KX547529,Mosquito
KX547528,ResidentBird
KX547527,Mammal
KX547526,Mosquito
KX547525,ResidentBird
KX547524,Mosquito
KX547523,ResidentBird
KX547522,ResidentBird
KX547521,ResidentBird
KX547520,Mosquito
KX547519,Mosquito
KX547518,ResidentBird
KX547517,ResidentBird
KX547516,ResidentBird
KX547515,ResidentBird
KX547514,Mosquito
KX547513,Mosquito
KX547512,ResidentBird
KX547511,ResidentBird
KX547510,Mosquito
KX547509,Mosquito
KX547508,ResidentBird
KX547507,ResidentBird
KX547506,ResidentBird
KX547505,Mosquito
KX547504,Mosquito
KX547503,Mosquito
KX547502,Mosquito
KX547501,ResidentBird
KX547500,ResidentBird
KX547499,ResidentBird
KX547498,ResidentBird
KX547497,Mosquito
KX547496,ResidentBird
KX547494,ResidentBird
KX547493,ResidentBird
KX547492,Mosquito
KX547491,ResidentBird
KX547490,ResidentBird
KX547488,Mosquito
KX547487,ResidentBird
KX547486,Mosquito
KX547485,Mosquito
KX547484,ResidentBird
KX547483,Mosquito
KX547482,Mosquito
KX547481,ResidentBird
KX547480,Mosquito
KX547479,Mosquito
KX547478,Mosquito
KX547475,ResidentBird
KX547474,Mammal
KX547473,Mosquito
KX547472,ResidentBird
KX547470,ResidentBird
KX547469,Mammal
KX547468,Mosquito
KX547467,Mosquito
KX547466,Mosquito
KX547466,Mosquito
KX547465,Mosquito
KX547464,Mosquito
KX547463,Mosquito
KX547462,ResidentBird
KX547461,ResidentBird
KX547460,Mosquito
KX547459,ResidentBird
KX547458,ResidentBird
KX547457,Mosquito
KX547457,Mosquito
KX547456,Mosquito
KX547455,Mosquito
KX547454,Mosquito
KX547452,ResidentBird
KX547451,ResidentBird
KX547450,Mosquito
KX547449,Mosquito
KX547448,ResidentBird
KX547447,ResidentBird
KX547446,ResidentBird
KX547445,Mosquito
KX547444,Mosquito
KX547443,Mosquito
KX547442,Mosquito
KX547441,ResidentBird
KX547439,ResidentBird
KX547438,Mosquito
KX547437,Mosquito
KX547436,Mosquito
KX547435,ResidentBird
KX547433,MigratoryBird
KX547432,ResidentBird
KX547431,Mosquito
KX547430,Mosquito
KX547429,Mosquito
KX547427,ResidentBird
KX547426,Mosquito
KX547424,ResidentBird
KX547423,ResidentBird
KX547422,ResidentBird
KX547421,ResidentBird
KX547420,ResidentBird
KX547418,Mosquito
KX547417,Mosquito
KX547416,ResidentBird
KX547415,ResidentBird
KX547413,ResidentBird
KX547412,Mosquito
KX547411,Mosquito
KX547410,Mosquito
KX547409,ResidentBird
KX547408,Mosquito
KX547406,Mosquito
KX547405,ResidentBird
KX547404,ResidentBird
KX547403,ResidentBird
KX547402,Mosquito
KX547400,ResidentBird
KX547399,Mosquito
KX547398,ResidentBird
KX547397,ResidentBird
KX547396,Mosquito
KX547394,ResidentBird
KX547393,Mosquito
KX547392,Mosquito
KX547391,Mosquito
KX547390,ResidentBird
KX547389,Mosquito
KX547388,Mosquito
KX547387,Mosquito
KX547386,Mosquito
KX547385,ResidentBird
KX547384,ResidentBird
KX547383,Mosquito
KX547382,ResidentBird
KX547381,ResidentBird
KX547380,Mosquito
KX547379,Mosquito
KX547377,Mosquito
KX547376,Mosquito
KX547375,Mosquito
KX547374,Mosquito
KX547373,ResidentBird
KX547371,ResidentBird
KX547368,Mosquito
KX547367,ResidentBird
KX547366,ResidentBird
KX547364,Mosquito
KX547363,Mosquito
KX547361,Mosquito
KX547360,ResidentBird
KX547359,ResidentBird
