sequenceID,URL,division,country,host,state,strain,collection_data,authors
AF533540,,NY/Nassau,United-States,Human,NY,NY99,2001-09-15,Huang et al
KJ786934,,NY,United-States,Human,NY,NY99,2001-08-01,Duggal et al
HQ671696,,CT/Fairfield,United-States,Mosquito-Culex,CT,NY99,2001-08-01,Henn et al
HQ671716,,CT/Fairfield,United-States,Mosquito-Culiseta,CT,NY99,2001-08-01,Henn et al
HQ671717,,CT/Fairfield,United-States,Mosquito-Aedes,CT,NY99,2001-08-01,Henn et al
HM488134,,CT/Fairfield,United-States,Mosquito-other,CT,NY99,2001-09-06,Armstrong et al
HM488135,,CT/Fairfield,United-States,Mosquito-other,CT,NY99,2001-09-06,Armstrong et al
MH166882,,VA/Norfolk,United-States,Bird-unknown,VA,NY99,2000-08-02,Swetnam et al
HM488129,,CT/New-Haven,United-States,Mosquito-Culex,CT,NY99,2000-09-22,Armstrong et al
AF404754,,NJ/Bergen,United-States,Mosquito-Culex,NJ,NY99,2000-08-02,Lanciotti et al
HQ671713,,CT/Fairfield,United-States,Bird-crow,CT,NY99,2001-08-01,Henn et al
AF196835,,NY/Bronx,United-States,Bird-other,NY,NY99,1999-09-15,Lanciotti et al
HQ671709,,CT/Fairfield,United-States,Mosquito-Culex,CT,NY99,2000-08-02,Henn et al
KX547266,,NY/Nassau,United-States,Mosquito-Culex,NY,NY99,2002-08-09,Shabman et al
HM488131,,CT/New-Haven,United-States,Mosquito-Culex,CT,NY99,2000-09-22,Armstrong et al
KX547584,,NY/Chemung,United-States,Bird-crow,NY,NY99,2002-09-06,Shabman et al
KX547228,,NY/Richmond,United-States,Bird-other,NY,NY99,2002-09-10,Shabman et al
KX547492,,NY/Westchester,United-States,Mosquito-Culex,NY,NY99,2002-09-26,Shabman et al
KX547478,,NY/Rockland,United-States,Mosquito-Culex,NY,NY99,2001-09-08,Shabman et al
KX547466,,NY/Suffolk,United-States,Mosquito-Culex,NY,NY99,2003-08-19,Shabman et al
KX547602,,NY/Westchester,United-States,Mosquito-Culex,NY,NY99,2000-09-02,Shabman et al
KX547316,,NY/Westchester,United-States,Mosquito-Culex,NY,NY99,2001-09-13,Shabman et al
AF404756,,NY/Rockland,United-States,Bird-crow,NY,NY99,2000-08-02,Lanciotti et al
KJ501465,,MI/Oakland,United-States,Bird-crow,MI,NY99,2001-08-24,Newman et al
KJ501493,,DC/District-Of-Columbia,United-States,Bird-other,DC,NY99,2001-10-02,Newman et al
KJ501445,,NJ,United-States,Bird-crow,NJ,NY99,2001-10-02,Newman et al
HQ671711,,CT/Fairfield,United-States,Mosquito-Culex,CT,NY99,2000-08-02,Henn et al
HM488130,,CT/New-Haven,United-States,Mosquito-Culex,CT,NY99,2000-09-19,Armstrong et al
KJ501515,,NJ/Middlesex,United-States,Bird-other,NJ,NY99,2001-10-31,Newman et al
KJ501269,,NJ/Middlesex,United-States,Bird-other,NJ,NY99,2001-10-25,Newman et al
HM488249,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
KJ501486,,NJ/Mercer,United-States,Bird-other,NJ,NY99,2001-09-17,Newman et al
KJ501450,,PA,United-States,Bird-crow,PA,NY99,2002-08-27,Newman et al
KJ501378,,PA/Bucks,United-States,Bird-crow,PA,NY99,2001-09-20,Newman et al
KJ501277,,PA/Philadelphia,United-States,Bird-crow,PA,NY99,2001-08-22,Newman et al
KJ501278,,PA,United-States,Bird-crow,PA,NY99,2001-10-24,Newman et al
KX547251,,NY/Rockland,United-States,Mosquito-Culex,NY,NY99,2002-07-19,Shabman et al
KX547490,,NY/Chemung,United-States,Bird-crow,NY,NY99,2002-09-06,Shabman et al
HM756662,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
HM756664,,NY,United-States,Bird-crow,NY,NY99,2002-08-01,Henn et al
KJ501374,,NJ/Union,United-States,Bird-other,NJ,NY99,2001-11-06,Newman et al
HM488248,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
KX547554,,NY/Bronx,United-States,Bird-other,NY,NY99,2002-09-12,Shabman et al
KX547509,,NY/Westchester,United-States,Mosquito-Culex,NY,NY99,2002-08-13,Shabman et al
HM756663,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
HM488246,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
HM488247,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
HM488175,,CT/Hartford,United-States,Mosquito-Culex,CT,NY99,2003-08-19,Armstrong et al
HM756653,,CT/Middlesex,United-States,Mosquito-Culex,CT,NY99,2003-08-26,Armstrong et al
KX547194,,NY/New-York,United-States,Bird-crow,NY,NY99,2002-09-21,Shabman et al
DQ164188,,NY/Westchester,United-States,Bird-crow,NY,NY99,2003-08-01,Davis et al
HM756661,,NY,United-States,Bird-crow,NY,NY99,2001-08-01,Henn et al
KX547261,,NY/Queens,United-States,Bird-other,NY,NY99,2002-09-04,Shabman et al
KJ501270,,NJ,United-States,Bird-other,NJ,NY99,2002-09-16,Newman et al
KJ501375,,NJ,United-States,Bird-crow,NJ,NY99,2002-08-08,Newman et al
KX547538,,NY/Nassau,United-States,Mosquito-Culex,NY,NY99,2001-08-15,Shabman et al
KX547484,,NY/Genesee,United-States,Bird-crow,NY,NY99,2002-10-01,Shabman et al
KX547179,,NY/Richmond,United-States,Bird-crow,NY,NY99,2002-08-08,Shabman et al
HQ671718,,CT/Fairfield,United-States,Mosquito-Culex,CT,NY99,2001-08-01,Henn et al
KX547386,,NY/Rockland,United-States,Mosquito-Culex,NY,NY99,2000-07-22,Shabman et al
AF404755,,NY/Oswego,United-States,Bird-other,NY,NY99,2000-08-02,Lanciotti et al
KJ501233,,AR/Union,United-States,Bird-other,AR,NY99,2001-09-19,Newman et al
KJ501379,,WI/Dane,United-States,Bird-other,WI,NY99,2001-09-27,Newman et al
KJ501468,,MS/Adams,United-States,Bird-other,MS,NY99,2001-09-27,Newman et al
KJ501473,,IL/Dupage,United-States,Bird-crow,IL,NY99,2001-09-27,Newman et al
DQ983578,,FL/Indian-River,United-States,Mosquito-Culex,FL,NY99,2003-08-01,Doumbouya et al
KJ501320,,MD,United-States,Bird-crow,MD,NY99,2003-09-11,Newman et al
MH170242,,CO,United-States,Mosquito-unknown,CO,NY99,2007-08-01,Swetnam et al
MH643887,,BRA/ES/Sao-Mateus,Brazil,Horse,BRA/ES,NY99,2018-04-25,Martins et al
KJ501489,,VA,United-States,Bird-crow,VA,NY99,2002-07-30,Newman et al
KJ501492,,WI,United-States,Bird-other,WI,NY99,2005-08-12,Newman et al
DQ164202,,OH/Licking,United-States,Human,OH,NY99,2002-08-01,Davis et al
MH166886,,VA/Norfolk,United-States,Mosquito-unknown,VA,NY99,2001-08-01,Swetnam et al
MH170276,,GA/Dekalb,United-States,Bird-crow,GA,NY99,2001-08-01,Swetnam et al
KJ501317,,MD,United-States,Bird-crow,MD,NY99,2001-10-04,Newman et al
KJ501393,,VA,United-States,Bird-crow,VA,NY99,2001-09-14,Newman et al
KJ501332,,VA,United-States,Bird-crow,VA,NY99,2001-09-13,Newman et al
MH166887,,VA/Norfolk,United-States,Mosquito-unknown,VA,NY99,2002-08-01,Swetnam et al
MH166899,,VA/Norfolk,United-States,Mosquito-unknown,VA,NY99,2002-08-01,Swetnam et al
KJ501516,,OH/Wood,United-States,Bird-crow,OH,NY99,2001-09-20,Newman et al
KJ501394,,VA,United-States,Bird-crow,VA,NY99,2001-09-13,Newman et al
KJ501362,,OH/Cuyahoga,United-States,Bird-crow,OH,NY99,2001-10-01,Newman et al
KX547428,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,NY99,2002-09-26,Shabman et al
KX547301,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,NY99,2002-09-10,Shabman et al
KX547252,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,NY99,2002-09-13,Shabman et al
KX547322,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,NY99,2003-08-19,Shabman et al
KX547414,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,NY99,2002-09-10,Shabman et al
KJ501268,,NJ/Ocean,United-States,Bird-other,NJ,NY99,2001-10-31,Newman et al
KJ501276,,OH/Hancock,United-States,Bird-other,OH,NY99,2002-08-23,Newman et al
KJ501363,,OH/Franklin,United-States,Bird-crow,OH,NY99,2001-09-14,Newman et al
DQ080062,,LA/Iberia,United-States,Mosquito-other,LA,NY99,2002-08-01,Deardorff et al
MH170263,,GA/Wane,United-States,Bird-other,GA,NY99,2001-08-01,Swetnam et al
DQ080072,,FL/Palm-Beach,United-States,Bird-other,FL,NY99,2001-08-01,Deardorff et al
MH170273,,GA/Lowndes,United-States,Bird-crow,GA,NY99,2001-08-01,Swetnam et al
KJ501455,,AL/Montgomery,United-States,Bird-other,AL,NY99,2001-09-14,Newman et al
KJ501235,,AR/Sebastian,United-States,Bird-other,AR,NY99,2001-09-26,Newman et al
KJ501234,,AR/Saline,United-States,Bird-other,AR,NY99,2001-09-26,Newman et al
KJ501443,,IL/Will,United-States,Bird-crow,IL,NY99,2001-10-19,Newman et al
KJ501282,,WI/Waushara,United-States,Bird-other,WI,NY99,2001-09-27,Newman et al
KJ501275,,OH/Cuyahoga,United-States,Bird-crow,OH,NY99,2001-09-14,Newman et al
KJ501395,,VA/Arlington,United-States,Bird-crow,VA,NY99,2001-10-04,Newman et al
KJ501264,,GA/Fulton,United-States,Bird-other,GA,NY99,2001-09-13,Newman et al
KJ501512,,GA/Fulton,United-States,Bird-crow,GA,NY99,2001-10-02,Newman et al
KX547253,,NY/Saint-Lawrence,United-States,Bird-crow,NY,NY99,2004-05-31,Shabman et al
DQ080071,,FL/Sumter,United-States,Horse,FL,NY99,2002-08-01,Deardorff et al
DQ431697,,FL/Hillsborough,United-States,Human,FL,NY99,2003-08-01,Herring et al
HM488218,,CT/Fairfield,United-States,Mosquito-Culex,CT,NY99,2003-08-25,Armstrong et al
HM488236,,CT/Middlesex,United-States,Mosquito-Culiseta,CT,NY99,2003-10-15,Armstrong et al
KX547527,,NY/Schenectady,United-States,Horse,NY,WN02,2002-10-03,Shabman et al
HM488194,,IL,United-States,Bird-crow,IL,WN02,2005-08-01,Henn et al
KX547204,,NY/Washington,United-States,Bird-crow,NY,WN02,2002-09-12,Shabman et al
KJ501336,,AL/Calhoun,United-States,Bird-other,AL,WN02,2001-09-07,Newman et al
KJ501338,,AL,United-States,Bird-other,AL,WN02,2002-09-09,Newman et al
KJ501446,,NJ,United-States,Bird-other,NJ,WN02,2003-09-16,Newman et al
MH170229,,CO/Weld,United-States,Mosquito-unknown,CO,WN02,2006-08-01,Swetnam et al
MH170249,,CO/Weld,United-States,Mosquito-Culex,CO,WN02,2006-08-01,Swetnam et al
KJ501495,,DC/District-Of-Columbia,United-States,Bird-other,DC,WN02,2002-08-13,Newman et al
HQ671742,,IL,United-States,Bird-other,IL,WN02,2002-08-01,Henn et al
KX547381,,NY/Putnam,United-States,Bird-other,NY,WN02,2003-10-03,Shabman et al
KJ501467,,MI/Wayne,United-States,Bird-other,MI,WN02,2002-09-27,Newman et al
KX547170,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,WN02,2003-09-23,Shabman et al
HM756668,,NY,United-States,Bird-crow,NY,WN02,2003-08-01,Henn et al
KX547526,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2003-09-05,Shabman et al
KJ501340,,AL,United-States,Bird-other,AL,WN02,2003-09-01,Newman et al
KX547531,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2003-08-13,Shabman et al
HM756652,,CT/Middlesex,United-States,Mosquito-Aedes,CT,WN02,2003-08-26,Armstrong et al
KX547621,,NY/Nassau,United-States,Bird-other,NY,WN02,2004-09-30,Shabman et al
KX547377,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2005-07-21,Shabman et al
KX547244,,NY/Clinton,United-States,Bird-crow,NY,WN02,2003-10-02,Shabman et al
KJ501364,,PA,United-States,Bird-crow,PA,WN02,2002-08-26,Newman et al
HM488252,,NY,United-States,Bird-crow,NY,WN02,2005-01-01,Henn et al
MH170265,,GA/Chattron,United-States,Mosquito-Culex,GA,WN02,2004-08-02,Swetnam et al
KX547351,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2004-08-05,Shabman et al
KX547487,,NY/New-York,United-States,Bird-crow,NY,WN02,2004-10-05,Shabman et al
KX547501,,NY/Queens,United-States,Bird-crow,NY,WN02,2004-09-11,Shabman et al
KX547532,,NY/Suffolk,United-States,Bird-other,NY,WN02,2005-08-01,Shabman et al
KX547193,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2005-10-07,Shabman et al
JF899529,,NY,United-States,Bird-crow,NY,WN02,2005-08-01,Henn et al
KX547461,,NY/Suffolk,United-States,Bird-other,NY,WN02,2005-08-08,Shabman et al
JF488093,,CT,United-States,Mosquito-Culex,CT,WN02,2005-08-01,Henn et al
KX547479,,NY/Suffolk,United-States,Mosquito-Aedes,NY,WN02,2005-09-07,Shabman et al
KX547511,,NY/Erie,United-States,Bird-other,NY,WN02,2006-08-21,Shabman et al
KX547441,,NY/Suffolk,United-States,Bird-other,NY,WN02,2005-08-16,Shabman et al
KX547502,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2006-09-13,Shabman et al
KJ501274,,OH/Cuyahoga,United-States,Bird-crow,OH,WN02,2001-09-20,Newman et al
KX547617,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2003-08-26,Shabman et al
KJ501306,,MI/Lenawee,United-States,Bird-other,MI,WN02,2002-09-27,Newman et al
MH170228,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2003-08-01,Swetnam et al
KJ501291,,DC/District-Of-Columbia,United-States,Bird-crow,DC,WN02,2002-08-08,Newman et al
KJ501491,,VA,United-States,Bird-crow,VA,WN02,2002-08-13,Newman et al
HM756659,,CT/Middlesex,United-States,Mosquito-Culiseta,CT,WN02,2003-10-08,Armstrong et al
KX547405,,NY/Tompkins,United-States,Bird-crow,NY,WN02,2003-08-09,Shabman et al
KJ501448,,OH,United-States,Bird-crow,OH,WN02,2001-01-01,Newman et al
KJ501517,,OH,United-States,Bird-crow,OH,WN02,2002-08-15,Newman et al
KX547415,,NY/Monroe,United-States,Bird-crow,NY,WN02,2004-07-29,Shabman et al
KJ501294,,MD,United-States,Bird-crow,MD,WN02,2003-08-28,Newman et al
HM488222,,CT/New-London,United-States,Mosquito-Culiseta,CT,WN02,2003-09-09,Armstrong et al
KJ501496,,IL/Cook,United-States,Bird-other,IL,WN02,2001-10-10,Newman et al
KJ501497,,IL,United-States,Bird-other,IL,WN02,2001-10-17,Newman et al
KJ501401,,IL,United-States,Bird-crow,IL,WN02,2001-10-02,Newman et al
KX547444,,NY/Niagara,United-States,Mosquito-Culex,NY,WN02,2002-08-06,Shabman et al
KJ501263,,AR,United-States,Bird-other,AR,WN02,2002-08-02,Newman et al
KX547474,,NY/Albany,United-States,Squirrel,NY,WN02,2002-10-11,Shabman et al
HM488232,,CT/Middlesex,United-States,Mosquito-Culiseta,CT,WN02,2003-09-17,Armstrong et al
HM488231,,CT/Middlesex,United-States,Mosquito-Culiseta,CT,WN02,2003-09-17,Armstrong et al
KX547299,,NY/Otsego,United-States,Bird-crow,NY,WN02,2002-08-25,Shabman et al
HM488209,,CT/Fairfield,United-States,Mosquito-other,CT,WN02,2003-08-14,Armstrong et al
KJ501505,,OK,United-States,Bird-crow,OK,WN02,2002-07-17,Newman et al
