sequenceID,URL,division,country,host,state,strain,collection_data,authors
HM488226,,CT/New-Haven,United-States,Mosquito-Culex,CT,WN02,2003-09-15,Armstrong et al
KJ501472,,GA,United-States,Bird-crow,GA,WN02,2003-08-15,Newman et al
HM488143,,CT/Fairfield,United-States,Mosquito-Aedes,CT,WN02,2004-08-10,Armstrong et al
KJ501339,,AL,United-States,Bird-other,AL,WN02,2002-09-13,Newman et al
KJ501287,,AL,United-States,Bird-other,AL,WN02,2002-08-30,Newman et al
KJ501337,,AL,United-States,Bird-crow,AL,WN02,2002-09-13,Newman et al
KX547327,,NY/Niagara,United-States,Bird-crow,NY,WN02,2006-08-24,Shabman et al
JN183890,,CT/Fairfield,United-States,Mosquito-Culiseta,CT,WN02,2003-08-01,Henn et al
KJ501425,,SD,United-States,Bird-other,SD,WN02,2007-08-03,Newman et al
MH170261,,GA/Dekalb,United-States,Mosquito-Culex,GA,WN02,2008-08-02,Swetnam et al
MH170271,,GA/Dekalb,United-States,Mosquito-Culex,GA,WN02,2008-08-02,Swetnam et al
JN183888,,NY,United-States,Bird-crow,NY,WN02,2006-08-01,Henn et al
KX547277,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2004-09-24,Shabman et al
MH166912,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2003-08-01,Swetnam et al
MH166913,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2004-08-02,Swetnam et al
MH166906,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2003-08-01,Swetnam et al
MF175850,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2015-07-21,Aroh et al
MF175870,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2015-08-12,Aroh et al
MF175873,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2015-09-08,Aroh et al
MF175877,,TX/Denton,United-States,Mosquito-Culex,TX,WN02,2015-11-11,Aroh et al
KC333387,,TX/Harris,United-States,Bird-other,TX,WN02,2012-07-19,Mann et al
MF175874,,TX/Denton,United-States,Mosquito-Culex,TX,WN02,2015-08-19,Aroh et al
MF175826,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-13,Aroh et al
MF175820,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-09-10,Aroh et al
MF175816,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-27,Aroh et al
MF175829,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-06,Aroh et al
KX547296,,NY/Columbia,United-States,Bird-crow,NY,WN02,2004-05-12,Shabman et al
KX547304,,NY/Ulster,United-States,Bird-crow,NY,WN02,2004-09-03,Shabman et al
KJ501310,,MS,United-States,Bird-other,MS,WN02,2002-08-13,Newman et al
KJ501452,,WI,United-States,Bird-crow,WI,WN02,2001-11-09,Newman et al
KX547230,,NY/Niagara,United-States,Mosquito-Culex,NY,WN02,2002-09-20,Shabman et al
KX547371,,NY/Jefferson,United-States,Bird-crow,NY,WN02,2007-09-20,Shabman et al
HM756678,,NY,United-States,Bird-crow,NY,WN02,2007-08-01,Henn et al
KX547439,,NY/Niagara,United-States,Bird-crow,NY,WN02,2003-08-14,Shabman et al
HM488216,,CT/Windham,United-States,Mosquito-Culiseta,CT,WN02,2003-08-20,Armstrong et al
HM756666,,NY,United-States,Bird-crow,NY,WN02,2003-08-01,Henn et al
HM488214,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2003-08-20,Armstrong et al
KX547321,,NY/Rockland,United-States,Bird-other,NY,WN02,2005-09-07,Shabman et al
KX547499,,NY/Herkimer,United-States,Bird-crow,NY,WN02,2004-07-15,Shabman et al
JF488094,,NY,United-States,Bird-crow,NY,WN02,2004-08-02,Henn et al
KJ501286,,WI/Milwaukee,United-States,Bird-other,WI,WN02,2002-09-27,Newman et al
HM488186,,IL,United-States,Bird-crow,IL,WN02,2003-08-01,Henn et al
DQ080061,,LA/Iberia,United-States,Bird-other,LA,WN02,2004-08-02,Deardorff et al
JF488088,,CT,United-States,Mosquito-Culex,CT,WN02,2004-08-02,Henn et al
KJ501377,,OH/Allen,United-States,Bird-other,OH,WN02,2001-08-23,Newman et al
KJ501366,,PA,United-States,Bird-crow,PA,WN02,2003-09-22,Newman et al
HM488181,,IL,United-States,Bird-crow,IL,WN02,2002-08-01,Henn et al
KJ501479,,KY/Boone,United-States,Bird-other,KY,WN02,2002-09-04,Newman et al
AY795965,,MI/Isabella,United-States,,MI,WN02,2002-08-01,Grinev et al
KJ501333,,VA,United-States,Bird-other,VA,WN02,2002-08-13,Newman et al
KJ501490,,VA,United-States,Bird-crow,VA,WN02,2002-08-06,Newman et al
KJ501519,,VA,United-States,Bird-crow,VA,WN02,2002-08-13,Newman et al
KJ501370,,AR,United-States,Bird-other,AR,WN02,2002-07-31,Newman et al
KX547408,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2004-09-14,Shabman et al
MH819464,,CAN/QC/St-Jean-Sur-Richelieu,Canada,Culex Sp.,CAN/QC,WN02,2004-09-16,Therrien et al
HM488182,,IL,United-States,Bird-crow,IL,WN02,2002-08-01,Henn et al
KX547364,,NY/Rockland,United-States,Mosquito-Aedes,NY,WN02,2002-09-13,Shabman et al
KX547577,,NY/Herkimer,United-States,Bird-crow,NY,WN02,2004-07-15,Shabman et al
KX547409,,NY/Putnam,United-States,Bird-crow,NY,WN02,2003-09-10,Shabman et al
KJ501249,,MO/Saint-Louis,United-States,Bird-crow,MO,WN02,2001-10-03,Newman et al
KJ501248,,MO/Saint-Louis,United-States,Bird-crow,MO,WN02,2001-09-27,Newman et al
KJ501247,,MO/Saint-Louis,United-States,Bird-crow,MO,WN02,2001-09-25,Newman et al
KJ501245,,MO,United-States,Bird-crow,MO,WN02,2001-09-25,Newman et al
KJ501246,,MO/Saint-Louis,United-States,Bird-crow,MO,WN02,2001-09-25,Newman et al
KJ501244,,MO/Saint-Louis,United-States,Bird-crow,MO,WN02,2001-09-19,Newman et al
KJ501243,,MO,United-States,Bird-crow,MO,WN02,2001-09-19,Newman et al
KJ501439,,MO,United-States,Bird-crow,MO,WN02,2001-10-12,Newman et al
KJ501215,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-14,Newman et al
KJ501453,,WI/Racine,United-States,Bird-crow,WI,WN02,2001-10-05,Newman et al
HM488183,,IL,United-States,Bird-other,IL,WN02,2002-08-01,Henn et al
HM488250,,NY,United-States,Bird-crow,NY,WN02,2003-08-01,Henn et al
KX547619,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,WN02,2002-08-15,Shabman et al
HQ671705,,CT/Fairfield,United-States,Mosquito-Culiseta,CT,WN02,2003-08-01,Henn et al
KX547583,,NY/Suffolk,United-States,Bird-crow,NY,WN02,2004-06-05,Shabman et al
KX547480,,NY/Columbia,United-States,Mosquito-Culex,NY,WN02,2003-09-22,Shabman et al
HQ671701,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2003-08-01,Henn et al
AY712947,,TX/Harris,United-States,Bird-other,TX,WN02,2003-08-01,Davis et al
KX547542,,NY/Erie,United-States,Bird-crow,NY,WN02,2004-06-08,Shabman et al
KX547262,,NY/Onondaga,United-States,Bird-crow,NY,WN02,2005-07-20,Shabman et al
KX547268,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2006-08-09,Shabman et al
KX547339,,NY/Suffolk,United-States,Bird-other,NY,WN02,2007-09-11,Shabman et al
HM488202,,NY,United-States,Bird-other,NY,WN02,2007-08-01,Henn et al
KX547558,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2008-09-05,Shabman et al
HM488207,,NY,United-States,Bird-other,NY,WN02,2008-08-02,Henn et al
KX547452,,NY/Nassau,United-States,Bird-crow,NY,WN02,2007-08-14,Shabman et al
HM488245,,NY,United-States,Bird-crow,NY,WN02,2008-08-02,Henn et al
KX547601,,NY/Nassau,United-States,Mosquito-Aedes,NY,WN02,2010-08-09,Shabman et al
KX547504,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2008-09-20,Shabman et al
KX547434,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2009-09-11,Shabman et al
KX547348,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2009-08-14,Shabman et al
HM756660,,NY,United-States,Bird-other,NY,WN02,2008-08-02,Henn et al
KX547430,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,WN02,2009-08-18,Shabman et al
MH170240,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2008-08-02,Swetnam et al
KX547491,,NY/Queens,United-States,Bird-crow,NY,WN02,2007-09-04,Shabman et al
KX547589,,NY/Queens,United-States,Bird-other,NY,WN02,2007-08-24,Shabman et al
JF920754,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-08-02,Henn et al
KX547406,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2009-09-25,Shabman et al
KX547306,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2009-09-02,Shabman et al
KX547171,,NY/Oneida,United-States,Mosquito-Culiseta,NY,WN02,2011-08-03,Shabman et al
KX547582,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2010-07-02,Shabman et al
KX547515,,NY/Schenectady,United-States,Bird-crow,NY,WN02,2009-09-02,Shabman et al
MH166916,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2010-08-01,Swetnam et al
MH166893,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2010-08-01,Swetnam et al
MH166920,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2009-08-01,Swetnam et al
MH166918,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2008-08-02,Swetnam et al
JF488095,,NY,United-States,Bird-crow,NY,WN02,2009-08-01,Henn et al
MH819463,,CAN/QC/Montréal,Canada,Culex Sp.,CAN/QC,WN02,2014-08-21,Therrien et al
MH819470,,CAN/QC/Montréal,Canada,Culex Sp.,CAN/QC,WN02,2014-09-15,Therrien et al
KX547555,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2012-07-18,Shabman et al
KC333378,,TX/Harris,United-States,Bird-other,TX,WN02,2012-06-29,Mann et al
MF175868,,TX/Montgomery,United-States,Mosquito-Culex,TX,WN02,2014-06-03,Aroh et al
KC333381,,TX/Harris,United-States,Bird-other,TX,WN02,2012-07-05,Mann et al
KC711058,,TX/Collin,United-States,Mosquito-Culex,TX,WN02,2012-06-06,Mann et al
MF175811,,TX/Collin,United-States,Mosquito-Culex,TX,WN02,2012-09-13,Aroh et al
KJ501230,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-16,Newman et al
KC736502,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2012-07-04,Duggal et al
KC736501,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2012-08-30,Duggal et al
KJ501216,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-16,Newman et al
KC736491,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2012-07-04,Duggal et al
KC736488,,TX/Montogmery,United-States,Mosquito-Culex,TX,WN02,2012-07-03,Duggal et al
KC736487,,TX/Montogmery,United-States,Mosquito-Culex,TX,WN02,2012-07-03,Duggal et al
KC736499,,TX/Montogmery,United-States,Mosquito-Culex,TX,WN02,2012-08-22,Duggal et al
KC736489,,TX/Montogmery,United-States,Mosquito-Culex,TX,WN02,2012-07-03,Duggal et al
JF920759,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2009-08-01,Henn et al
KY229074,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-08-22,Ehrbar et al
KX547293,,NY/Oswego,United-States,Mosquito-Culiseta,NY,WN02,2011-08-24,Shabman et al
MH166897,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2010-08-01,Swetnam et al
KX547177,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2012-07-07,Shabman et al
KJ501533,,NY,United-States,Mosquito-Culex,NY,WN02,2012-08-25,Newman et al
KX547315,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2012-08-25,Shabman et al
KX547465,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2013-07-31,Shabman et al
KM012181,,LA,United-States,Human,LA,WN02,2012-08-02,Grinev et al
MH819447,,CAN/QC/Chateauguay,Canada,Culex Sp.,CAN/QC,WN02,2013-08-26,Therrien et al
W1336,,LA/East-Baton-Rouge,United-States,,LA,WN02,2018-08-22,WestNile4K
MF175875,,TX/Colllin,United-States,Mosquito-Culex,TX,WN02,2015-09-01,Aroh et al
KC333376,,TX/Harris,United-States,Bird-other,TX,WN02,2012-06-15,Mann et al
KX547520,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2012-09-12,Shabman et al
KY229070,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-08-10,Ehrbar et al
KX547200,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2012-08-17,Shabman et al
KX547612,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-08-22,Shabman et al
KY229073,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-08-22,Ehrbar et al
W0978,,NH/Hillsborough,United-States,,NH,WN02,2018-08-30,WestNile4K
W1326,,LA/East-Baton-Rouge,United-States,,LA,WN02,2018-09-02,WestNile4K
W1303,,LA/Ouachita,United-States,,LA,WN02,2017-08-01,WestNile4K
KY216153,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-07-26,Ehrbar et al
KX547174,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2013-07-16,Shabman et al
MH819452,,CAN/QC/Sainte-Julie,Canada,Culex Sp.,CAN/QC,WN02,2015-09-15,Therrien et al
W1369,,LA/Caddo,United-States,,LA,WN02,2017-07-28,WestNile4K
W1374,,LA/Caddo,United-States,,LA,WN02,2017-07-17,WestNile4K
KX547201,,NY/Nassau,United-States,Mosquito-Aedes,NY,WN02,2012-07-21,Shabman et al
W0982,,NH/Rockingham,United-States,,NH,WN02,2018-09-11,WestNile4K
KX547337,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2012-09-29,Shabman et al
KX547450,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,WN02,2015-08-05,Shabman et al
KX547169,,NY/Oswego,United-States,Mosquito-Culiseta,NY,WN02,2015-09-02,Shabman et al
W0952,,NH/Hillsborough,United-States,,NH,WN02,2015-09-09,WestNile4K
KX547333,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2013-10-09,Shabman et al
W0963,,NH/Hillsborough,United-States,,NH,WN02,2018-07-16,WestNile4K
W0986,,NH/Rockingham,United-States,,NH,WN02,2018-09-18,WestNile4K
KX547190,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2013-07-12,Shabman et al
W1353,,LA/Sttammany,United-States,,LA,WN02,2017-06-26,WestNile4K
MF175824,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-15,Aroh et al
MF175845,,TX/Fort-Bend,United-States,Mosquito-Culex,TX,WN02,2014-09-16,Aroh et al
MF175832,,TX/Fort-Bend,United-States,Mosquito-Culex,TX,WN02,2014-07-22,Aroh et al
MF175846,,TX/Fort-Bend,United-States,Mosquito-Culex,TX,WN02,2014-10-16,Aroh et al
KX547235,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2015-08-13,Shabman et al
MH819449,,CAN/QC/Montréal,Canada,Culex Sp.,CAN/QC,WN02,2014-09-22,Therrien et al
MH819456,,CAN/QC/Longueuil,Canada,Culex Sp.,CAN/QC,WN02,2013-09-09,Therrien et al
KX547254,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2013-07-17,Shabman et al
W0981,,NH/Rockingham,United-States,,NH,WN02,2018-09-11,WestNile4K
W0972,,NH/Cheshire,United-States,,NH,WN02,2018-08-16,WestNile4K
KX547482,,NY/Oswego,United-States,Mosquito-Culiseta,NY,WN02,2013-08-07,Shabman et al
W0987,,NH/Rockingham,United-States,,NH,WN02,2018-09-18,WestNile4K
W1305,,LA/West-Baton-Rouge,United-States,,LA,WN02,2017-06-28,WestNile4K
W1301,,LA/West-Baton-Rouge,United-States,,LA,WN02,2017-07-06,WestNile4K
W1300,,LA/West-Baton-Rouge,United-States,,LA,WN02,2017-08-11,WestNile4K
W1308,,LA/West-Baton-Rouge,United-States,,LA,WN02,2017-07-17,WestNile4K
W1307,,LA/Ouachita,United-States,,LA,WN02,2017-07-19,WestNile4K
KX547503,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2002-08-14,Shabman et al
KJ501319,,MD,United-States,Bird-crow,MD,WN02,2002-08-22,Newman et al
KX547298,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2004-08-04,Shabman et al
KX547285,,NY/Bronx,United-States,Bird-crow,NY,WN02,2004-08-17,Shabman et al
KJ501239,,MN/Lacqui-Parle,United-States,Bird-other,MN,WN02,2008-08-16,Newman et al
KJ501255,,ND/Stutsman,United-States,Bird-other,ND,WN02,2008-08-28,Newman et al
JF415918,,TX/Harris,United-States,Bird-other,TX,WN02,2007-08-01,McMullen et al
KJ501240,,MN/Lacqui-Parle,United-States,Bird-other,MN,WN02,2008-10-03,Newman et al
KJ501211,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-08-01,Newman et al
KJ501423,,SD,United-States,Bird-other,SD,WN02,2004-08-07,Newman et al
KX547186,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2008-07-09,Shabman et al
MH166909,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2009-08-01,Swetnam et al
KJ501285,,WI,United-States,Bird-other,WI,WN02,2002-09-04,Newman et al
KX547567,,NY/Cortland,United-States,Bird-crow,NY,WN02,2006-08-26,Shabman et al
KX547459,,NY/Wyoming,United-States,Bird-crow,NY,WN02,2002-09-26,Shabman et al
KX547212,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2003-09-30,Shabman et al
HM756658,,CT/New-London,United-States,Mosquito-Culiseta,CT,WN02,2003-10-07,Armstrong et al
KX547481,,NY/Nassau,United-States,Bird-other,NY,WN02,2005-09-01,Shabman et al
JF920744,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2007-08-01,Henn et al
DQ164200,,IN/Hendricks,United-States,Human,IN,WN02,2002-08-01,Davis et al
KX547239,,NY/Suffolk,United-States,Mosquito-Culiseta,NY,WN02,2003-08-20,Shabman et al
KX547403,,NY/Onondaga,United-States,Bird-crow,NY,WN02,2004-05-21,Shabman et al
KX547399,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2007-09-06,Shabman et al
KX547178,,NY/Suffolk,United-States,Mosquito-Culiseta,NY,WN02,2003-08-13,Shabman et al
DQ164206,,TX/Harris,United-States,Bird-other,TX,WN02,2004-08-02,Davis et al
MF175854,,TX/Williamson,United-States,Mosquito-Culex,TX,WN02,2015-10-20,Aroh et al
AY646354,,NY/Madison,United-States,Human,NY,WN02,2002-08-01,Grinev et al
KX547493,,NY/Orange,United-States,Bird-crow,NY,WN02,2004-09-20,Shabman et al
KX547176,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2003-08-12,Shabman et al
HM488147,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2004-09-14,Armstrong et al
HM488142,,CT/Fairfield,United-States,Mosquito-other,CT,WN02,2004-07-13,Armstrong et al
KX547454,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2004-08-04,Shabman et al
KX547374,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2002-08-23,Shabman et al
KJ501399,,DC/District-Of-Columbia,United-States,Bird-other,DC,WN02,2002-07-31,Newman et al
KJ501400,,DC/District-Of-Columbia,United-States,Bird-other,DC,WN02,2002-08-14,Newman et al
KX547470,,NY/Erie,United-States,Bird-crow,NY,WN02,2007-08-09,Shabman et al
KX547223,,NY/Queens,United-States,Bird-crow,NY,WN02,2005-09-16,Shabman et al
HM488140,,CT/Fairfield,United-States,Mosquito-Aedes,CT,WN02,2003-08-12,Armstrong et al
KJ501305,,MD,United-States,Bird-crow,MD,WN02,2003-09-01,Newman et al
KX547317,,NY/Nassau,United-States,Bird-crow,NY,WN02,2004-07-28,Shabman et al
HM756672,,NY,United-States,Bird-crow,NY,WN02,2004-08-02,Henn et al
KJ501302,,KY,United-States,Bird-other,KY,WN02,2002-08-27,Newman et al
MH170275,,GA/Dekalb,United-States,Bird-crow,GA,WN02,2002-08-01,Swetnam et al
KJ501382,,MN/Otter-Tail,United-States,Bird-other,MN,WN02,2003-08-29,Newman et al
MH819471,,CAN/QC/Laval,Canada,Culex Sp.,CAN/QC,WN02,2004-09-08,Therrien et al
KM012173,,SD,United-States,Human,SD,WN02,2012-08-02,Grinev et al
HM488200,,NY,United-States,Bird-crow,NY,WN02,2007-08-01,Henn et al
KX547595,,NY/Dutchess,United-States,Bird-crow,NY,WN02,2007-08-23,Shabman et al
KX547419,,NY/Dutchess,United-States,Bird-crow,NY,WN02,2007-08-23,Shabman et al
KJ501383,,MS,United-States,Bird-other,MS,WN02,2002-08-13,Newman et al
KX547398,,NY/Madison,United-States,Bird-crow,NY,WN02,2002-08-23,Shabman et al
KX547390,,NY/Genesee,United-States,Bird-other,NY,WN02,2004-08-30,Shabman et al
KX547237,,NY/Genesee,United-States,Bird-crow,NY,WN02,2004-08-13,Shabman et al
KX547281,,NY/Cortland,United-States,Bird-crow,NY,WN02,2004-06-05,Shabman et al
HM756671,,NY,United-States,Bird-crow,NY,WN02,2004-08-02,Henn et al
KJ501371,,AR,United-States,Bird-other,AR,WN02,2002-08-02,Newman et al
KX547359,,NY/Nassau,United-States,Bird-crow,NY,WN02,2006-08-14,Shabman et al
KX547326,,NY/Nassau,United-States,Mosquito-Culex,NY,WN02,2007-08-01,Shabman et al
JF920752,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-08-02,Henn et al
KJ501417,,NC,United-States,Bird-other,NC,WN02,2006-07-26,Newman et al
MH819469,,CAN/QC/Cote-St-Luc-Hamstead,Canada,Aedes Vexans,CAN/QC,WN02,2006-08-29,Therrien et al
KX547250,,NY/Erie,United-States,Bird-crow,NY,WN02,2006-08-03,Shabman et al
KX547600,,NY/Rensselaer,United-States,Bird-crow,NY,WN02,2010-09-13,Shabman et al
KJ145827,,NY,United-States,Bird-crow,NY,WN02,2010-09-13,Newman et al
JF957186,,AZ,United-States,Human,AZ,WN02,2010-08-01,Anez et al
KJ501442,,AZ/Maricopa,United-States,Bird-other,AZ,WN02,2010-05-19,Newman et al
KJ501438,,AZ,United-States,Bird-other,AZ,WN02,2010-05-18,Newman et al
KF704158,,AZ/Maricopa,United-States,Mosquito-Culex,AZ,WN02,2010-08-09,Plante et al
JF957185,,AZ,United-States,Human,AZ,WN02,2010-08-01,Anez et al
JQ700440,,AZ,United-States,Human,AZ,WN02,2011-08-01,Anez et al
KM012174,,AZ,United-States,Human,AZ,WN02,2012-08-02,Grinev et al
KM012170,,AZ,United-States,Human,AZ,WN02,2012-08-02,Grinev et al
MG004539,,AZ/Maricopa,United-States,Mosquito-Culex,AZ,WN02,2014-06-10,Hepp et al
MG004529,,AZ/Maricopa,United-States,Mosquito-Culex,AZ,WN02,2014-06-26,Hepp et al
HM488219,,CT/Hartford,United-States,Mosquito-Culex,CT,WN02,2003-08-25,Armstrong et al
KJ501359,,NJ,United-States,Bird-crow,NJ,WN02,2003-09-16,Newman et al
KX547165,,NY/Broome,United-States,Bird-other,NY,WN02,2005-09-10,Shabman et al
HQ671724,,NY,United-States,Bird-crow,NY,WN02,2005-08-01,Henn et al
KX547340,,NY/Orange,United-States,Mosquito-Culex,NY,WN02,2012-08-17,Shabman et al
W0950,,NH/Rockingham,United-States,,NH,WN02,2013-09-04,WestNile4K
KX547319,,NY/Rensselaer,United-States,Bird-crow,NY,WN02,2009-09-07,Shabman et al
HM488166,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-09-11,Armstrong et al
HM488170,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-09-17,Armstrong et al
HM488169,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-09-17,Armstrong et al
HM488168,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-09-11,Armstrong et al
JF920758,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2009-08-01,Henn et al
HM488167,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-09-11,Armstrong et al
KX547248,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2003-09-26,Shabman et al
JF920743,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2007-08-01,Henn et al
KX547536,,NY/Chautauqua,United-States,Bird-crow,NY,WN02,2004-06-02,Shabman et al
JF920757,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2008-08-02,Henn et al
KX547278,,NY/Albany,United-States,Bird-crow,NY,WN02,2012-09-18,Shabman et al
KC333386,,TX/Harris,United-States,Bird-other,TX,WN02,2012-07-19,Mann et al
KC333382,,TX/Harris,United-States,Bird-other,TX,WN02,2012-07-07,Mann et al
KC333379,,TX/Harris,United-States,Bird-other,TX,WN02,2012-06-29,Mann et al
JF957184,,CO,United-States,Human,CO,WN02,2009-08-01,Anez et al
KX547594,,NY/Westchester,United-States,Mosquito-Aedes,NY,WN02,2013-07-31,Shabman et al
MH819462,,CAN/QC/Boucherville,Canada,Culex Sp.,CAN/QC,WN02,2015-09-09,Therrien et al
MF175857,,TX/Fort-Bend,United-States,Mosquito-Culex,TX,WN02,2015-08-11,Aroh et al
MF175867,,TX/Fort-Bend,United-States,Mosquito-Culex,TX,WN02,2015-07-21,Aroh et al
W0965,,NH/Rockingham,United-States,,NH,WN02,2018-08-09,WestNile4K
W0961,,NH/Rockingham,United-States,,NH,WN02,2017-10-05,WestNile4K
MF175827,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-07,Aroh et al
MF175825,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-13,Aroh et al
MF175818,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-09-26,Aroh et al
MF175828,,TX/Dallas,United-States,Mosquito-Culex,TX,WN02,2013-08-08,Aroh et al
KX547192,,NY/Oneida,United-States,Mosquito-Culiseta,NY,WN02,2011-08-24,Shabman et al
KX547416,,NY/Onondaga,United-States,Mosquito-other,NY,WN02,2011-08-04,Shabman et al
KX547236,,NY/Onondaga,United-States,Mosquito-Aedes,NY,WN02,2011-09-15,Shabman et al
KX547412,,NY/Madison,United-States,Mosquito-Aedes,NY,WN02,2011-08-30,Shabman et al
KX547255,,NY/Oswego,United-States,Mosquito-Culiseta,NY,WN02,2011-09-13,Shabman et al
KX547507,,NY/Onondaga,United-States,Mosquito-other,NY,WN02,2011-08-11,Shabman et al
KX547540,,NY/Onondaga,United-States,Mosquito-Culiseta,NY,WN02,2012-09-28,Shabman et al
MH170234,,CO/Larimer,United-States,Bird-other,CO,WN02,2003-08-01,Swetnam et al
MH170236,,CO/Weld,United-States,Mosquito-unknown,CO,WN02,2006-08-01,Swetnam et al
HM488244,,NY,United-States,,NY,WN02,2008-08-02,Henn et al
KX547488,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2011-09-15,Shabman et al
MH170262,,GA/Lowndes,United-States,Mosquito-Culex,GA,WN02,2009-08-01,Swetnam et al
HM488174,,CT/New-Haven,United-States,Mosquito-Culex,CT,WN02,2003-08-12,Armstrong et al
JF415920,,TX/Harris,United-States,Bird-other,TX,WN02,2007-08-01,McMullen et al
KX547300,,NY/Ulster,United-States,Bird-crow,NY,WN02,2009-08-17,Shabman et al
KX547469,,NY/Schenectady,United-States,Squirrel,NY,WN02,2002-09-19,Shabman et al
