Elevation,Land_cover_forests,Land_cover_shrublands,Land_cover_savannas,Land_cover_grasslands,Land_cover_croplands,Land_cover_urban_areas,Temperature_interpolated_rasters,Precipitation_interpolated_rasters
16.6900005340576,4,0,0,2,2,55,NA,NA
24.6299991607666,1,0,0,9,4,57,-1.11113703250885,980.535034179688
34,1,0,0,2,0,97,16.4724063873291,1072.02160644531
88.5299987792969,0,0,0,0,0,100,-1.63317894935608,870.612731933594
25.2399997711182,0,0,0,0,0,100,20.0162467956543,1279.03283691406
40.5699996948242,0,0,0,0,1,99,19.5106563568115,1210.70910644531
238.559997558594,21,0,0,0,72,7,18.5573997497559,1583.4541015625
24.6299991607666,1,0,0,9,4,57,9.51957321166992,1187.85021972656
14.210000038147,2,0,0,1,0,85,19.3308448791504,1064.54895019531
59.7200012207031,4,0,0,0,4,92,22.3431854248047,1130.93884277344
21.5499992370605,0,0,0,0,0,100,18.9358940124512,1217.294921875
21.5499992370605,0,0,0,0,0,100,1.33011066913605,702.219421386719
19.25,0,0,0,0,4,96,19.3227500915527,848.303466796875
26.8500003814697,53,0,0,0,7,31,23.9870548248291,1040.83081054688
47.0400009155273,5,0,0,0,11,82,1.13961577415466,516.342712402344
56.5200004577637,0,0,0,0,1,99,0.714352130889893,527.225036621094
16.6900005340576,4,0,0,2,2,55,0.592729568481445,535.778076171875
16.6900005340576,4,0,0,2,2,55,0.597968637943268,536.34375
43.5400009155273,32,0,0,2,0,52,10.7045640945435,874.30419921875
139.339996337891,91,0,0,0,0,9,17.4656944274902,1145.17785644531
130.589996337891,46,0,0,0,2,52,2.25432395935059,726.483337402344
134.960006713867,96,0,0,0,0,4,17.4032135009766,1131.61865234375
124.730003356934,6,0,0,0,94,0,NA,NA
116.75,79,0,0,0,21,0,9.88854217529297,973.979187011719
65.5,21,0,0,3,45,0,NA,NA
56.5200004577637,0,0,0,0,1,99,9.05837631225586,729.160095214844
202.380004882812,60,0,0,0,40,0,16.5290336608887,1003.90252685547
63.8800010681152,18,0,0,0,0,82,2.04938411712646,701.577331542969
39.4700012207031,10,0,0,0,0,90,1.16722869873047,507.371398925781
39.4700012207031,10,0,0,0,0,90,1.24475967884064,498.048248291016
35.7200012207031,44,0,0,4,0,30,1.04940640926361,523.724731445312
11.0900001525879,96,0,4,0,0,0,26.4840869903564,2259.66015625
48.0200004577637,26,0,0,0,1,72,18.5586338043213,1203.59020996094
62.7200012207031,6,0,0,0,5,89,7.05239486694336,1063.9794921875
19.25,0,0,0,0,4,96,24.880687713623,956.196472167969
NA,NA,NA,NA,NA,NA,NA,13.1186056137085,288.778747558594
13.1300001144409,0,0,0,0,3,93,19.3075256347656,787.019226074219
13.1300001144409,0,0,0,0,3,93,18.4676933288574,1853.28454589844
39.4700012207031,10,0,0,0,0,90,18.4525051116943,1889.13623046875
56.5200004577637,0,0,0,0,1,99,0.708932638168335,526.792724609375
NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,0,0,2,0,97,0.874509334564209,516.413757324219
87.9499969482422,22,0,0,0,23,55,24.0202713012695,1194.10083007812
3.51999998092651,7,0,0,7,0,81,1.04238069057465,503.693145751953
14.1400003433228,17,0,0,0,4,79,10.9470510482788,792.166564941406
18.6299991607666,0,0,0,0,0,100,2.00149726867676,516.530578613281
249.199996948242,32,0,0,13,41,14,24.6405048370361,780.341796875
44.7999992370605,13,0,0,43,0,43,6.75713014602661,935.641418457031
130.589996337891,46,0,0,0,2,52,12.6131181716919,262.715789794922
153.889999389648,83,0,0,0,1,16,-1.88908743858337,1336.01818847656
77.25,62,0,0,15,0,23,12.0235900878906,246.182983398438
36.9900016784668,8,0,0,4,0,81,1.13861310482025,734.939575195312
47.0400009155273,5,0,0,0,11,82,19.3395652770996,985.421325683594
21.8299999237061,0,0,0,0,0,100,1.26959609985352,734.236877441406
21.8299999237061,0,0,0,0,0,100,3.72630214691162,1863.42163085938
293.429992675781,3,0,0,0,97,0,1.35220289230347,761.881896972656
NA,NA,NA,NA,NA,NA,NA,19.8548049926758,624.815002441406
148.309997558594,7,0,0,23,64,6,22.3912086486816,436.297546386719
47.0400009155273,5,0,0,0,11,82,25.0349960327148,931.75830078125
225.330001831055,78,0,0,0,22,0,16.9685821533203,1102.38757324219
14.1400003433228,17,0,0,0,4,79,10.9470510482788,792.166564941406
258.959991455078,69,0,0,0,29,2,1.21090197563171,612.709594726562
28.4599990844727,32,0,0,0,68,0,15.2219686508179,178.322891235352
258.959991455078,69,0,0,0,29,2,8.49962043762207,1065.17578125
166.929992675781,84,0,0,0,13,3,-3.92967748641968,1408.76818847656
131.070007324219,69,0,0,0,31,0,-3.703449010849,756.640075683594
125.959999084473,61,0,0,0,36,3,-1.79836630821228,935.54833984375
166.929992675781,84,0,0,0,13,3,11.4767684936523,200.247604370117
77.25,62,0,0,15,0,23,18.7970237731934,1113.04895019531
167.440002441406,37,0,0,0,30,33,-1.65711915493011,1618.72302246094
279.029998779297,98,0,0,0,2,0,17.5676860809326,1052.98120117188
131.070007324219,69,0,0,0,31,0,-3.68277168273926,757.165344238281
241.490005493164,94,0,0,0,4,2,-3.34746766090393,778.803833007812
202.380004882812,60,0,0,0,40,0,23.3051719665527,752.055603027344
241.490005493164,94,0,0,0,4,2,22.8743839263916,1050.39099121094
26.1299991607666,2,0,0,0,0,98,20.2426166534424,1492.84399414062
549.369995117188,95,0,0,0,5,0,-9.56573581695557,1338.26220703125
437.5,73,0,0,0,27,0,21.2488765716553,1585.23876953125
595.280029296875,100,0,0,0,0,0,20.8380355834961,1591.94384765625
293.070007324219,98,0,0,0,0,2,-3.06721830368042,1368.14660644531
87.9499969482422,22,0,0,0,23,55,9.19249057769775,334.096588134766
126.25,55,0,0,0,0,45,-0.456988215446472,918.982971191406
304.980010986328,86,0,0,0,14,0,22.8650665283203,1001.1171875
100.900001525879,0,0,0,0,0,100,19.2452964782715,1158.24462890625
14.1400003433228,17,0,0,0,4,79,9.14789772033691,721.03271484375
105.480003356934,18,0,0,0,6,76,17.8016376495361,980.243713378906
44.7999992370605,13,0,0,43,0,43,2.61306858062744,728.588928222656
80.2799987792969,19,0,0,0,2,79,20.8951244354248,1708.83642578125
NA,NA,NA,NA,NA,NA,NA,NA,NA
56.5200004577637,0,0,0,0,1,99,16.0792331695557,1092.67138671875
56.5200004577637,0,0,0,0,1,99,22.0348644256592,282.574859619141
71.379997253418,0,0,0,0,0,100,18.1658706665039,1069.43310546875
43.5400009155273,32,0,0,2,0,52,19.5531826019287,1471.7060546875
14.6199998855591,1,0,0,0,0,99,24.4833755493164,1224.34558105469
54.8199996948242,8,0,0,20,0,71,0.620247304439545,521.075378417969
14.6199998855591,1,0,0,0,0,99,0.738061428070068,512.284729003906
20.4599990844727,0,0,0,0,0,100,18.4389743804932,2310.1689453125
269.149993896484,100,0,0,0,0,0,7.74661111831665,902.299011230469
192.460006713867,96,0,0,0,1,3,23.3151950836182,870.620300292969
208.729995727539,96,0,0,0,1,3,4.77144718170166,839.273559570312
0.469999998807907,64,2,0,13,0,0,19.6496467590332,447.839233398438
286.010009765625,91,0,0,0,9,0,16.2183647155762,1086.29992675781
2.24000000953674,1,0,1,47,0,50,1.07120728492737,2014.69897460938
18.6299991607666,0,0,0,0,0,100,11.0775337219238,830.254638671875
21.8199996948242,0,0,0,0,0,100,16.199634552002,1106.15087890625
2.86999988555908,10,0,0,0,0,61,22.2565841674805,1549.48425292969
26.1299991607666,2,0,0,0,0,98,21.5143051147461,1425.48559570312
49.9199981689453,21,0,0,1,1,66,12.7727451324463,117.138610839844
35.7200012207031,44,0,0,4,0,30,12.8209323883057,115.400611877441
590.299987792969,98,0,0,2,0,0,20.3388977050781,899.786071777344
49.9199981689453,21,0,0,1,1,66,NA,NA
172.449996948242,100,0,0,0,0,0,-0.269217282533646,821.892761230469
172.449996948242,100,0,0,0,0,0,11.9842023849487,401.418548583984
153.270004272461,100,0,0,0,0,0,19.9269275665283,495.964447021484
176.119995117188,21,0,0,0,79,0,21.4712238311768,1306.09362792969
111.629997253418,86,0,0,0,2,12,10.7574033737183,1360.21716308594
19.25,0,0,0,0,4,96,-0.455471515655518,1226.44250488281
288.119995117188,89,0,0,0,11,0,17.9894733428955,1045.85913085938
281,98,0,0,0,0,2,10.2021579742432,1647.49255371094
126.25,55,0,0,0,0,45,23.0016002655029,818.79736328125
306.140014648438,100,0,0,0,0,0,22.6224365234375,795.905090332031
27.0300006866455,90,0,0,0,3,7,12.5668077468872,103.147201538086
86.620002746582,68,0,0,0,3,29,8.05106067657471,294.146270751953
27.7900009155273,8,0,0,0,7,85,3.85336112976074,598.798400878906
27.4799995422363,9,0,0,0,0,71,-1.40348994731903,1328.83837890625
377.519989013672,100,0,0,0,0,0,17.068265914917,2311.1455078125
86.620002746582,68,0,0,0,3,29,19.7440719604492,570.737548828125
27.0300006866455,90,0,0,0,3,7,6.90152072906494,992.99755859375
111.629997253418,86,0,0,0,2,12,22.8948726654053,1154.90625
29.8199996948242,72,0,0,4,23,1,1.10979640483856,629.162780761719
19.25,11,0,0,1,19,67,1.39488363265991,622.563659667969
19.25,0,0,0,0,4,96,25.3954296112061,338.541748046875
49.9199981689453,21,0,0,1,1,66,19.8709125518799,2137.34375
20.0499992370605,60,0,0,1,19,14,-0.852518022060394,1338.38562011719
3.51999998092651,7,0,0,7,0,81,18.3603534698486,1513.318359375
3.21000003814697,11,0,0,6,0,56,NA,NA
3.21000003814697,11,0,0,6,0,56,13.2151679992676,118.131866455078
572.630004882812,95,0,0,0,5,0,-2.14793109893799,1558.79577636719
547.109985351562,43,0,0,0,57,0,16.3110542297363,1345.49487304688
599.309997558594,100,0,0,0,0,0,20.1914653778076,1279.71398925781
3.21000003814697,11,0,0,6,0,56,7.18814611434937,1041.65283203125
3.21000003814697,11,0,0,6,0,56,NA,NA
1.12999999523163,13,0,0,30,0,45,0.025529645383358,913.911499023438
12.9200000762939,0,0,0,2,0,98,3.83770346641541,1788.48205566406
80.4100036621094,20,0,0,0,2,78,12.7304048538208,176.365829467773
381.429992675781,0,0,0,0,100,0,NA,NA
124.790000915527,65,0,0,0,23,12,17.4017429351807,1274.36059570312
181.320007324219,92,0,0,0,1,7,4.05722236633301,1168.21618652344
339.589996337891,96,0,0,0,0,4,18.2593746185303,1674.29602050781
54.8199996948242,8,0,0,20,0,71,24.1307678222656,815.784790039062
77.1500015258789,20,0,0,0,62,18,18.8246822357178,1175.36743164062
12.9200000762939,0,0,0,2,0,98,3.8023145198822,1776.80395507812
20.4599990844727,0,0,0,0,0,100,3.8078236579895,1812.49060058594
1113.90002441406,0,0,0,0,100,0,3.70433497428894,594.67578125
198.839996337891,92,0,0,0,8,0,21.4658088684082,1768.74816894531
510.380004882812,55,0,1,0,2,42,18.2271957397461,473.594848632812
12.1099996566772,5,0,0,1,0,78,2.32060074806213,1029.85229492188
185.759994506836,55,0,0,0,43,2,22.1418838500977,1249.77038574219
3.51999998092651,7,0,0,7,0,81,1.25728058815002,859.939270019531
170.009994506836,9,0,0,0,89,2,9.37886047363281,1768.27221679688
117.48999786377,24,0,0,0,75,1,23.3205299377441,3349.2578125
72.1999969482422,5,0,0,0,79,16,23.6925163269043,1797.84545898438
178.960006713867,35,0,0,0,46,19,23.9962959289551,949.519958496094
73.5699996948242,4,0,0,0,74,22,18.0478057861328,965.740478515625
24.2299995422363,2,0,0,0,2,96,17.8369007110596,1058.97631835938
24.2299995422363,2,0,0,0,2,96,19.9447746276855,340.033630371094
24.2299995422363,2,0,0,0,2,96,4.80314779281616,568.423522949219
80.4100036621094,20,0,0,0,2,78,17.1548728942871,374.064361572266
281.809997558594,90,0,0,0,5,5,21.6542148590088,1488.99645996094
